representation,parent_id,rank_group,mutant_id,parent_fitness,mutant_fitness,delta_fitness,status,genotype
Final F1,1,worst,15,0.8221085163635837,0.10899928552677707,-0.7131092308368067,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water], (Lf(,FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,16,0.8221085163635837,-0.0014793160229499723,-0.8235878323865337,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]FX[Water] (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,17,0.8221085163635837,0.8408317225305266,0.018723206166942896,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1]X[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,18,0.8221085163635837,0.12464152080617642,-0.6974669955574073,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,19,0.8221085163635837,0.07215204968121143,-0.7499564666823723,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]RlX[N, in:0.8, 9:1,si:2]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,1,worst,20,0.8221085163635837,0.8284546064793286,0.006346090115744829,feasible,"LL(, dXX[G][|, 12:1]RfX[|, 6:1.249][S][S]gXqXrGX[|, 10:1]lX[N, in:0.8, 9:1]FX[Water], (Lf(FX[Water][|, -1:-5.187, r:1, p:0.652, r:1]LLfX[@, -4:1]), lbX[N, -7:1]LlMlQX[N, 1:1]X[Sin, -10:1]LfX[Sin][Sin, -11:0.678]))"
Final F1,2,middle,1,0.1850322262351971,0.4294448819795847,0.24441265574438759,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,2,0.1850322262351971,0.8593668662656826,0.6743346400304855,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FQX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,3,0.1850322262351971,0.5614549314226518,0.3764227051874547,feasible,"((c(FfLX[Sin,5:1]bXrFQCfX[G][Water])), X[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
Final F1,2,middle,4,0.1850322262351971,1.3627658880110216e-05,-0.185018598576317,feasible,"((c(FfLX[Sin]bXrFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 2:1, 0:1,-3:1][@, p:0.993]FX[S][N, -1:1, -5:1, -5:1,-5:1]FLFX[|])"
Final F1,2,middle,5,0.1850322262351971,0.7006787140774021,0.515646487842205,feasible,"((c(FfLX[Sin,4:1]bXrFQCfX[G][Water])), MX[Delay, 3:1, 0:1,-2:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -5:1, -5:1,-5:1]FLFX[|, -4:1])"
Final F1,2,middle,6,0.1850322262351971,0.9167883598941661,0.731756133658969,feasible,"((c(FfLX[Sin,5:1]bXrLFQCfX[G][Water])), MX[Delay, 1:1,-3:1][Delay, 3:1, 0:1,-3:1][Sin][@, -1:-5.038, p:0.993]FX[S][N, -1:1, -6:1, -6:1,-6:1]FLFX[|, -4:1])"
