genotype_index,genotype,perfperiod,lifespan,distance,velocity
30,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllXllllFFFFX))",1,10000.0,14.603889496461552,0.001460388949646155
31,RXX(XCcLX[S]XX),1,10000.0,0.0020376829818546304,2.0376829818546305e-07
32,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-23.499]",1,10000.0,44.7326459820315,0.00447326459820315
33,"(rrX(lX(llX,),lXMMMMX[|1:1.378,s:0]rrX[T:-0.407]l(LlX,,LlX),))",1,10000.0,0.028095494013323907,2.809549401332391e-06
34,"bDdgX(X[@0:1.524][|1:-4.885], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-2.097][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",1,10000.0,349.5146653228865,0.03495146653228865
35,"X(X, RRMMX[@G:0.738](X[@G:-0.553,-1:0.623], X))",1,10000.0,181.87137649676976,0.018187137649676978
36,"FFX[G:-8.903,in:0]MMX[|-1:11.318,in:0.8,fo:0.04]X[|-1:-1.206,fo:1]RRX(X, X)",1,10000.0,1.111974916415491,0.00011119749164154909
37,"RRLLLLFFFFX[*][Sin][N,-1:-19.155,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllXllllFFFFX))",1,10000.0,13.565867048352173,0.0013565867048352172
38,XX(XCcLX[S]XX),1,10000.0,0.0,0.0
39,"X[S]rrX[G][-1:80][|, -1:-0.027]fX[|, -2:-23.499]",1,10000.0,45.57513103765694,0.004557513103765694
0,X,20,10000.0,0.0,0.0
1,X(X),20,10000.0,0.0,0.0
2,"RXX(X,CXXX)",20,10000.0,1.6074651626476342e-10,1.607465162647634e-14
3,"XrrX[G][-1:80][|,-1:0.9]X[|,-2:-21]",20,10000.0,47.85149925468956,0.004785149925468956
4,"(rrX(lX(llX[T:1],),lXMMMMX[|1:2,-1:-3]rrX[T:-0.407](LlX,,LlX),))",20,10000.0,58.97519056003284,0.005897519056003285
5,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][0:-1.331][|G:1.849], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",20,10000.0,312.2634597098211,0.03122634597098211
6,"X(X, RRMMX[@G:.5](X[@G:.5], X))",20,10000.0,1.9682422106162962,0.00019682422106162963
7,"FFX[G:-5.141,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:1.768,fo:1]RRX(X, X)",20,10000.0,61.421858788957024,0.006142185878895702
8,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:52.083,p:1,r:0.886]RRFFFFXllllF(llllFFFF(llllX,llllFFFFX))",20,10000.0,101.51394045309661,0.01015139404530966
9,"X(X,)",20,10000.0,0.0,0.0
10,"RXX(X,CcXXX)",20,10000.0,1.064088731489458e-12,1.0640887314894579e-16
11,"X[S]rrX[G][-1:80][|, -1:0.9]X[|, -2:-21]",20,10000.0,44.38933876155983,0.004438933876155983
12,"(rrX(lX(llX[T:1],),lXMMMMX[|1:1.378,-1:-3]rrX[T:-0.407](LlX,,LlX),))",20,10000.0,23.8506173326941,0.0023850617332694104
13,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:1.849], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",20,10000.0,233.4130516965168,0.02334130516965168
14,"X(X, RRMMX[@G:.5](X[@G:.5,-1:1], X))",20,10000.0,8.479694078933548,0.0008479694078933548
15,"FFX[G:-5.141,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",20,10000.0,0.5489846491651977,5.489846491651977e-05
16,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:52.083,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllX,llllFFFFX))",20,10000.0,101.57580792127087,0.010157580792127086
17,RXX(XCcXXX),20,10000.0,0.0023470373818333264,2.3470373818333264e-07
18,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-21]",20,10000.0,27.369672039000164,0.0027369672039000165
19,"(rrX(lX(llX[T:1],),lXMMMMX[|1:1.378,-1:-3]rrX[T:-0.407]l(LlX,,LlX),))",20,10000.0,19.523669951882123,0.0019523669951882123
20,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",20,10000.0,331.62800895881423,0.03316280089588142
21,"X(X, RRMMX[@G:0.738](X[@G:.5,-1:1], X))",20,10000.0,163.36016769261403,0.0163360167692614
22,"FFX[G:-8.903,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",20,10000.0,2.1252629197642166,0.00021252629197642166
23,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllX,llllFFFFX))",20,10000.0,101.57580792127217,0.010157580792127217
24,RXX(XCcX[S]XX),20,10000.0,0.0023470373819727813,2.3470373819727811e-07
25,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-20.549]",20,10000.0,23.881023280513844,0.0023881023280513843
26,"(rrX(lX(llX,),lXMMMMX[|1:1.378]rrX[T:-0.407]l(LlX,,LlX),))",20,10000.0,0.01616935990558016,1.616935990558016e-06
27,"bDdgX(X[@0:1.524][|1:-4.885], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",20,10000.0,328.0890687056902,0.03280890687056902
28,"X(X, RRMMX[@G:0.738](X[@G:-0.553,-1:1], X))",20,10000.0,164.44066039961996,0.016444066039961996
29,"FFX[G:-8.903,in:0]MMX[|-1:11.318,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",20,10000.0,1.414738107942242,0.00014147381079422422
30,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllXllllFFFFX))",20,10000.0,10.942934806264843,0.0010942934806264842
