run,generation,genetic_format,mutation_intensity,best_velocity,avg_velocity,stddev_velocity
0,0,1,0.0,-2.823716704172499e-07,-2.823716704217859e-07,1.5406064376352979e-18
0,1,1,0.0,-6.609435461122e-08,-3.086769173129217e-07,1.658407679788944e-07
0,2,1,0.0,3.016412033451658e-10,-2.0618267608331456e-07,8.65239985909181e-08
0,3,1,0.0,2.664576637436975e-06,-9.812446145640037e-08,4.0657713768168663e-07
0,4,1,0.0,2.6645766379906916e-06,-2.908083345221145e-07,3.002023832477297e-06
0,5,1,0.0,3.0330042203428583e-06,-6.462671089846319e-07,4.535628066967312e-06
0,6,1,0.0,8.529145483632595e-06,4.979040186618966e-07,5.030766031911493e-06
0,7,1,0.0,9.76167068557268e-06,1.3673803036209925e-06,1.953680025557515e-06
0,8,1,0.0,1.0089558782906889e-05,1.8439967547361548e-06,2.2396553708213594e-06
0,9,1,0.0,0.000731491377411236,1.700183208816755e-05,0.00010212965778559551
0,10,1,0.0,0.0007794392539160763,2.061546072982304e-05,0.00010859520551095964
0,11,1,0.0,0.0014689946642533881,4.386821145320303e-05,0.00020703581595793652
0,12,1,0.0,0.0015728246113282467,0.00011138843487355763,0.00034793012845128437
0,13,1,0.0,0.0015476204301890872,0.00022128690516755604,0.0005055579578711748
0,14,1,0.0,0.001534445908655101,0.00044832167314635534,0.0006342542261916868
0,15,1,0.0,0.003449681217016486,0.000779002726691381,0.0007806386254162801
0,16,1,0.0,0.003545703699675518,0.0009406693036202443,0.0008764300947292679
0,17,1,0.0,0.003999002011269473,0.0010886539863833055,0.0012190962531252276
0,18,1,0.0,0.008079774985551912,0.0016410663369777348,0.0017353485619291818
0,19,1,0.0,0.008283596879507386,0.0025168799942446337,0.002661147856462342
0,20,1,0.0,0.008283596879507376,0.003756804995734282,0.0032041858847407676
0,21,1,0.0,0.008637482243648121,0.0035979158180242574,0.00365538546517652
0,22,1,0.0,0.008346470015954318,0.0037308207371993148,0.0038432551150046597
0,23,1,0.0,0.009190102707758555,0.003995023105393498,0.0037391813674785084
0,24,1,0.0,0.008415601214156803,0.0038190310539232258,0.0037730743924413875
0,25,1,0.0,0.008415601214156803,0.004213620824726426,0.003899849246727079
0,26,1,0.0,0.008299288401884526,0.00426196552846146,0.0038612927846625395
0,27,1,0.0,0.008137339524297633,0.0038257578433552285,0.0037668302838221473
0,28,1,0.0,0.009644526858258295,0.00402966844520669,0.00391237499315797
0,29,1,0.0,0.010652803062908804,0.005179975089153799,0.003678438029163591
0,30,1,0.0,0.009644526858258302,0.005630475648866592,0.003484313550613992
0,31,1,0.0,0.009600821546352235,0.003814896664215395,0.0037760321025558418
0,32,1,0.0,0.010113931516231588,0.0037722745456168377,0.003722307113045342
0,33,1,0.0,0.00954774912690505,0.004490043216359418,0.0036070095040090537
0,34,1,0.0,0.0104379214236626,0.004342220924638678,0.0037844863004849578
0,35,1,0.0,0.010232081355345125,0.004251271553660195,0.004336112732302947
0,36,1,0.0,0.010232081355345125,0.006357721713880001,0.0037889011681261986
0,37,1,0.0,0.010272283169963705,0.005008132160109403,0.004533067809185539
0,38,1,0.0,0.010232081355345125,0.003664841283943469,0.004087956722491045
0,39,1,0.0,0.0101013727070189,0.0049168069148734315,0.003962113774267142
0,40,1,0.0,0.013427493102719502,0.004067610593265609,0.004528510119891972
0,41,1,0.0,0.011797857544894111,0.005938474769813569,0.0041497156303014066
0,42,1,0.0,0.012124854585769392,0.004442124454023351,0.004439175667263317
0,43,1,0.0,0.012124854585769392,0.005439529264831041,0.00408016773534022
0,44,1,0.0,0.017107418304042627,0.005662508374108409,0.005061267497544879
0,45,1,0.0,0.015273781866760554,0.004969795648531445,0.004873277817391474
0,46,1,0.0,0.01646506234223203,0.006473389719165071,0.005702494829654101
0,47,1,0.0,0.019090485552030474,0.008492574182809326,0.005903033411473688
0,48,1,0.0,0.019090485552030474,0.007783234537908947,0.006911692707022036
0,49,1,0.0,0.018079206871190044,0.00800903035752774,0.006929600534143386
0,50,1,0.0,0.018079206871190044,0.007842672222081447,0.007343312425802249
0,51,1,0.0,0.019246914772007073,0.00895825537165736,0.007865584987711123
0,52,1,0.0,0.01886797198406164,0.010267154119460064,0.007474373081097748
0,53,1,0.0,0.02062008644714265,0.010047799954214837,0.007934579830720418
0,54,1,0.0,0.02062008644714265,0.01011972942385986,0.007867322072823826
0,55,1,0.0,0.020709592745566534,0.009404097327463919,0.007732999939007318
0,56,1,0.0,0.02058207711136313,0.009861470006242915,0.008201745698170138
0,57,1,0.0,0.03750260034953634,0.009393511209400091,0.008886785987327676
0,58,1,0.0,0.035159466227686925,0.00953821547612634,0.009132724406299747
0,59,1,0.0,0.046577890956752716,0.015292534912259199,0.010147312297982108
0,60,1,0.0,0.04660880347569917,0.015237289807263596,0.013601670312761705
0,61,1,0.0,0.04763542637856883,0.01912456258081911,0.01688223423630377
0,62,1,0.0,0.04667170230267617,0.02052645889015605,0.017302226644395475
0,63,1,0.0,0.04667170230267617,0.01946399167502091,0.018897633573391703
0,64,1,0.0,0.04667148577729863,0.02478222240744753,0.01987085945009036
0,65,1,0.0,0.04774260474079657,0.02447922336639109,0.020409889641507074
0,66,1,0.0,0.04774531316925497,0.025537573927883608,0.021573612270073334
0,67,1,0.0,0.04776383321603108,0.02383530800262759,0.021207126857683965
0,68,1,0.0,0.04797481921694994,0.0256794568127408,0.022071317264596053
0,69,1,0.0,0.047981517058010736,0.03172029206989785,0.021434290590721886
0,70,1,0.0,0.04833466576215621,0.025033593084272433,0.02251362430783369
0,71,1,0.0,0.04833525525832939,0.02651206617528965,0.02201546109843687
0,72,1,0.0,0.04833525525832939,0.027862740528123334,0.022530035503584702
0,73,1,0.0,0.048359312004111546,0.03131533575571929,0.020731802986902945
0,74,1,0.0,0.11934205589691443,0.029897756741662156,0.024877976339221695
0,75,1,0.0,0.08990878019507312,0.02805468060099817,0.02373500338578034
0,76,1,0.0,0.0895064715838282,0.025660435763980447,0.02438994155376615
0,77,1,0.0,0.10267035377398871,0.03285424804030743,0.028397399814486714
0,78,1,0.0,0.10921751931432361,0.026237890727500813,0.0318269459425996
0,79,1,0.0,0.13053751906678304,0.031455489928359,0.036269688446967895
0,80,1,0.0,0.13579278298658523,0.04000462083838962,0.04133458266724081
0,81,1,0.0,0.13579278298658523,0.04217824858391214,0.04559880526506015
0,82,1,0.0,0.15635006537952778,0.04617245085157454,0.05152830377526723
0,83,1,0.0,0.15635006537952778,0.04239489744992949,0.0522433234670253
0,84,1,0.0,0.13830965964777145,0.037716317202429864,0.05215566684098016
0,85,1,0.0,0.13052249190524556,0.04177714776183118,0.04747896279683883
0,86,1,0.0,0.3109203232075709,0.06073964369462439,0.0667285008153397
0,87,1,0.0,0.3109203232075709,0.06405804216795195,0.06453667671533164
0,88,1,0.0,0.2821699572838626,0.04847633474062412,0.06260838241369626
0,89,1,0.0,0.17755567176189127,0.04842252922231125,0.06002682284029147
0,90,1,0.0,0.15654090673261364,0.049872286253478254,0.05551381798823813
0,91,1,0.0,0.26973813135934066,0.059513370352807106,0.06481915237814183
0,92,1,0.0,0.26973813135934066,0.07006845553928837,0.07551799970624312
0,93,1,0.0,0.3635398355421008,0.08684796527114143,0.09123093776920299
0,94,1,0.0,0.3686005249338941,0.09284448580813814,0.10773319038935944
0,95,1,0.0,0.4443097174647749,0.10209827126144333,0.13260435559773978
0,96,1,0.0,0.5293812955138704,0.16554169548458245,0.15164419410718094
0,97,1,0.0,0.7443707011486317,0.23573379612853892,0.21885053643625116
0,98,1,0.0,0.8393963215392224,0.3283502062383492,0.2427322866703483
0,99,1,0.0,0.8084082922015203,0.38045637591211506,0.2885176065230387
0,100,1,0.0,0.8179267670998298,0.404849795247924,0.27848666766660113
0,101,1,0.0,0.8317370915632267,0.44404024066537323,0.2872779820533063
0,102,1,0.0,0.8677401658230494,0.46902450674502794,0.3153093674820998
0,103,1,0.0,0.8414756937006416,0.45581940716388114,0.3132115482044049
0,104,1,0.0,0.815271961208438,0.42787693319016923,0.29590892335708213
0,105,1,0.0,0.8178194527898781,0.4521583188092261,0.3158526726443185
0,106,1,0.0,0.8607462824900586,0.479732337393007,0.3090005949180013
0,107,1,0.0,0.888622915022394,0.41958032303924186,0.31611209852763994
0,108,1,0.0,0.8894454936959231,0.4435316543872278,0.2915623981507693
0,109,1,0.0,0.8445964174219195,0.42295956337505736,0.31789158557281477
0,110,1,0.0,0.8567015296991505,0.4126313836599132,0.3333558611911533
0,111,1,0.0,0.9498826113548441,0.4611913862930017,0.3226724705717247
0,112,1,0.0,0.9498826113548441,0.3685447008827669,0.32193293536407497
0,113,1,0.0,0.8907548278875838,0.3869092559093399,0.30331522909308956
0,114,1,0.0,0.9621812113590192,0.3736057944078139,0.3051594703937367
0,115,1,0.0,0.9802656196678874,0.48390707249397913,0.3051523739889299
0,116,1,0.0,0.9802656196678874,0.47588008335883536,0.33045592096902343
0,117,1,0.0,0.9802656196678874,0.5200602186468024,0.34198052573704524
0,118,1,0.0,0.9634758628520023,0.48751230856835504,0.36208491105037705
0,119,1,0.0,0.9552627437523239,0.4062155006176086,0.35361578152423356
