representation,total_crossovers,feasible_offspring,infeasible_offspring,better_than_best_parent,best_parent_rate,better_than_mean_parent,mean_parent_rate,mean_gain_vs_best_parent,mean_gain_vs_mean_parent
f0,1000,953,47,6,0.0062959076600209865,49,0.05141657922350472,-0.7496258682008601,-0.5367743184272531
f1,1000,831,169,12,0.01444043321299639,99,0.11913357400722022,-0.8171149896926566,-0.5723343509847512
f4,1000,749,251,9,0.012016021361815754,62,0.08277703604806408,-0.9809839866907397,-0.658931423240842
f9,1000,796,204,22,0.02763819095477387,131,0.16457286432160803,-0.3368692104510269,-0.2679448293601642
