representation,rank_group,walks,mean_initial_fitness,mean_final_fitness,mean_net_change,mean_fitness,mean_step_change,mean_step_change_std,mean_steps_above_start
f0,best,5,1.327062307015406,0.15713178361029506,-1.1699305234051107,0.34300317993165347,-0.0389976841135037,0.17397898658430933,1.0
f0,high,5,1.0798184223320708,0.08128578565503707,-0.9985326366770337,0.23567169212870281,-0.03328442122256779,0.16174600612323475,0.0
f0,medium,5,0.9098555349279447,0.235795168264276,-0.6740603666636688,0.2828580951107017,-0.022468678888788958,0.15820676193969405,0.6
f0,worst,5,0.4052571697247333,0.10253184535098629,-0.302725324373747,0.2073124512307265,-0.010090844145791566,0.06118853892382896,5.6
f1,best,5,1.5076867674517789,0.07736603641459433,-1.4303207310371846,0.18096586602198078,-0.047677357701239494,0.24549922622194503,0.0
f1,high,5,1.1372972715029497,0.02416088235828802,-1.1131363891446617,0.22714777632821198,-0.03710454630482206,0.11925176075410929,0.2
f1,medium,5,0.902713491031092,0.13527968669956678,-0.7674338043315252,0.2682449012765836,-0.025581126811050837,0.1286958783472491,0.2
f1,worst,5,0.39145725773812723,0.08549587638255475,-0.3059613813555725,0.12709435770098598,-0.010198712711852418,0.06986731369936419,7.4
f4,best,5,1.823995047274994,0.36182861533711874,-1.4621664319378753,0.4161894731589563,-0.04873888106459585,0.29608042347511826,1.2
f4,high,5,1.3246327358904133,0.3298566127583219,-0.9947761231320914,0.48441081585573464,-0.033159204104403046,0.23349033803824218,0.6
f4,medium,5,0.9976794752415227,0.17743191084664575,-0.820247564394877,0.32913759555327504,-0.027341585479829233,0.15144645362619175,0.0
f4,worst,5,0.4473044876402237,0.0745579223850665,-0.37274656525515715,0.14630964173350128,-0.01242488550850524,0.09032965481106517,6.8
f9,best,5,0.8339350954782658,0.22460429538709242,-0.6093308000911734,0.27810050757439736,-0.02031102666970578,0.15354495476982816,0.0
f9,high,5,0.7579761090663839,0.21861962397490703,-0.5393564850914767,0.2590855235491573,-0.01797854950304923,0.15992578447932967,0.0
f9,medium,5,0.7112942266277503,0.2749562549891832,-0.4363379716385672,0.2814498058577097,-0.014544599054618901,0.11995617242111052,0.0
f9,worst,5,0.47328891453610566,0.17087716018499338,-0.3024117543511123,0.24873688165249916,-0.010080391811703743,0.13806690434327634,1.2
