run,generation,genetic_format,mutation_intensity,best_vertpos,avg_vertpos,stddev_vertpos
0,0,1,0.0,-0.010199999294193912,-0.010199999294193914,1.734723475976807e-18
0,1,1,0.0,-0.010132999293255222,-0.010205266508358615,4.0992742503348014e-05
0,2,1,0.0,-0.010099499293033285,-0.010199199149071789,4.571610345746529e-05
0,3,1,0.0,-0.01007035618514134,-0.010175503779058608,5.331916263288593e-05
0,4,1,0.0,-0.010058512144389818,-0.010135962020869362,4.5489816396969346e-05
0,5,1,0.0,-0.010058512144389818,-0.010116060288064227,5.091329170720044e-05
0,6,1,0.0,-0.010052590123914176,-0.010100731864243616,3.999978780221738e-05
0,7,1,0.0,-0.010052590123914176,-0.010100631710519897,4.8372624022682584e-05
0,8,1,0.0,-0.010052590123914176,-0.010099820546828635,5.8029287581360645e-05
0,9,1,0.0,-0.010052590123914176,-0.01008880448064824,5.149668081416344e-05
0,10,1,0.0,-0.008548297194338174,-0.0100544112090413,0.00022191260562217098
0,11,1,0.0,-0.008433416258218,-0.009985138447772884,0.0003788643195291876
0,12,1,0.0,-0.0068445878656313965,-0.009881392206340232,0.0006066407569961985
0,13,1,0.0,0.01324408368028659,-0.009211826831304986,0.003303184477230948
0,14,1,0.0,0.013244083680286551,-0.007994213992087041,0.005443337733143029
0,15,1,0.0,0.019936047800032112,-0.0034217893421132455,0.009609908390560907
0,16,1,0.0,0.03728274852883407,0.006352318391825667,0.015208423507053053
0,17,1,0.0,0.057939185443552664,0.016316674692972294,0.016770453273770965
0,18,1,0.0,0.0735600543421898,0.024725171590225227,0.019495379614500728
0,19,1,0.0,0.0735600543421898,0.02369834508178518,0.026654812896029535
0,20,1,0.0,0.09656448701618106,0.033473847659888784,0.029807671117022642
0,21,1,0.0,0.14038201004541354,0.05529691232019695,0.03627042846041015
0,22,1,0.0,0.14737712622190777,0.058755701280405005,0.046660001148702286
0,23,1,0.0,0.26844038293756356,0.0768629671054604,0.0567540834013033
0,24,1,0.0,0.29399307953751813,0.09110098936323492,0.07734534733036341
0,25,1,0.0,0.2495688289862874,0.09282400012150362,0.0649062972720059
0,26,1,0.0,0.3316843485680103,0.10980217632777649,0.07526322858271232
0,27,1,0.0,0.3316843485680103,0.11568184310708286,0.0776060036232859
0,28,1,0.0,0.40126591525779376,0.12785425478931697,0.08347118550173686
0,29,1,0.0,0.40126591525779376,0.141007880985714,0.11719156633253074
0,30,1,0.0,0.40126591525779376,0.17136744072601856,0.13427046453887814
0,31,1,0.0,0.40126591525779376,0.18364148813322814,0.1429653117468514
0,32,1,0.0,0.454816799573122,0.18720704921751263,0.1622136392150018
0,33,1,0.0,0.454816799573122,0.18573835750112075,0.16179256879450354
0,34,1,0.0,0.5940312882856927,0.2091798570074608,0.16643527051552853
0,35,1,0.0,0.5942813607026923,0.258555676516087,0.18086437989563972
0,36,1,0.0,0.5944972175342149,0.3112668548678018,0.1896607613352741
0,37,1,0.0,0.6650012826942143,0.3556696414619438,0.20595750414958325
0,38,1,0.0,0.6650012826942139,0.3581350227227594,0.20537623240012912
0,39,1,0.0,0.6677252756275458,0.4199253215447618,0.22188579308301357
0,40,1,0.0,0.7935463283193336,0.45669938663531634,0.2251437117982205
0,41,1,0.0,0.9033556577120276,0.5223879440780282,0.2509153670569617
0,42,1,0.0,0.9033556577120276,0.46455066996518535,0.3057770446003231
0,43,1,0.0,1.0924048037168514,0.5282732514377714,0.33020766727224665
0,44,1,0.0,0.9255035759504076,0.5565708569648816,0.35391414051586995
0,45,1,0.0,0.9133309590096657,0.554394733386844,0.32662012549428643
0,46,1,0.0,0.9133309590096657,0.5242189971979218,0.35327502004575606
0,47,1,0.0,0.9133309590096671,0.47571618494282547,0.3735104291357803
0,48,1,0.0,0.9920219527701731,0.5004004762271966,0.3449986646009619
0,49,1,0.0,0.9920219527701731,0.4706063498870512,0.36554376528700744
0,50,1,0.0,0.9920219527701731,0.6039222258855671,0.35357774044373375
0,51,1,0.0,0.9920219527701732,0.6164119034826067,0.3461948581472386
0,52,1,0.0,0.9920219527701732,0.5593612332856404,0.3739193591275205
0,53,1,0.0,1.0332121707230897,0.5861123579564463,0.3635091239783712
0,54,1,0.0,1.103203751259149,0.6267633413383442,0.3660963677318321
0,55,1,0.0,1.103203751259149,0.6903185639565688,0.37511457880623855
0,56,1,0.0,1.103203751259149,0.6586355577071553,0.37882891128298185
0,57,1,0.0,1.122742772678936,0.8087143959475754,0.32997714451341403
0,58,1,0.0,1.2204649309057003,0.7076408148501133,0.43904864564819257
0,59,1,0.0,1.2204649309057003,0.7341460178953446,0.41271556706683393
0,60,1,0.0,1.236239185890819,0.7704436192573936,0.4164711104314263
0,61,1,0.0,1.236239185890819,0.8176199830393684,0.4365557826519989
0,62,1,0.0,1.360134852847739,0.8683168998740908,0.4306357108258786
0,63,1,0.0,1.360134852847739,0.897922535314983,0.4505071858875066
0,64,1,0.0,1.360233619146257,0.8894285294842991,0.4721086243529602
0,65,1,0.0,1.3601348528477397,0.9775937291143094,0.466357522871406
0,66,1,0.0,1.4264128033664512,0.9733633009922883,0.4532337460349446
0,67,1,0.0,1.4264128033664512,0.9934194067978029,0.4738486826816367
