run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,4,0.0,159,562.5658980000007,/*4*/Q#2c<X>rF#2#3c<LLXL>LLLLL<LLX>#2rQFcLQ>>>m>X>,1.4327740047616468
1,4,0.0,113,390.0513557999984,"/*4*/,<q,,<<#3#4lFQ,Cl>#4q<X#4LL>>,>qL>X>lX>Xc>cX>",0.9348648173477839
2,4,0.0,278,821.1209368000018,/*4*/LF#5#6LLL>RRF#2<<FFFXF>X#6LLL>f>#6LLL>>f>FXF>,1.9280815255771377
3,4,0.0,152,464.6997895000022,"/*4*/lfFfFf#6RmLL,#2<XL>#2#5L>>>>M<Q#4FFL>CCX>XL>",1.5642741338198525
4,4,0.0,255,730.1297027,/*4*/r#6rc#2LLL<LLLLXL>cL>L#6LL><X>#3#2#2L>r>>>XL>,1.5423500782986896
5,4,0.0,186,568.8033506000029,/*4*/CCCC#6C<XR#3LLQL>>#6FC#3L>><X>LqLLLfL<XLL>>X>,1.533353491387218
