run,genetic_format,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,1,0.0,94,200.76929749999908,"LL(CF(rQCX), RRLLCmX(CLFXLXrXQX))",1.5855258469983824
1,1,0.0,181,348.1893281999983,LLFLFcLLL(LCLCXRRFMLCCCCXF(XMLLfLLLLXcMmCXrfMLmX)),1.5661991033404963
2,1,0.0,114,266.5090941000017,"(lfLLX, RRRMllqlmClXCLQXLXXXmXCXLLQXLXLCXLqCXXX)",1.3520773719554604
3,1,0.0,144,301.81743690000076,"LXF(fFX((LMXrrCXCLLLLLmXXFX(c(X)))), rQLLQLqQLQLX)",1.3202253733357487
4,1,0.0,120,263.1590071999999,"L(FLLMX, MqLLLX,, rrLXlXClXLLXmFLLFLXqX)",1.8485539888400493
5,1,0.0,130,267.52641940000103,fLmLcFXRRCLmCXrmqCLLLLLXLMLXLLfCXLLXLMX,1.1972869044956902
