run,generation,genetic_format,mutation_intensity,best_velocity,avg_velocity,stddev_velocity
0,0,1,0.0,0.0,0.0,0.0
0,1,1,0.0,0.0,0.0,0.0
0,2,1,0.0,0.0,0.0,0.0
0,3,1,0.0,1.7763568394002505e-19,3.552713678800501e-21,2.486899575160351e-20
0,4,1,0.0,1.7763568394002505e-19,1.0661610483353457e-20,4.2185268000627707e-20
0,5,1,0.0,3.1598423294033347e-07,6.319684658835097e-09,4.4237792611642626e-08
0,6,1,0.0,1.515226185830537e-05,3.3792362111821325e-07,2.1186790159920026e-06
0,7,1,0.0,1.515226185830537e-05,1.6471212776213381e-06,4.506561819891611e-06
0,8,1,0.0,1.515226185830537e-05,4.309971306878005e-06,6.478644941080879e-06
0,9,1,0.0,1.515226185830537e-05,7.92937746804907e-06,7.3100009544155605e-06
0,10,1,0.0,1.5152615066526443e-05,1.1028052777161995e-05,6.644980791705456e-06
0,11,1,0.0,1.5152615066526443e-05,1.1756334312303486e-05,6.258701248633052e-06
0,12,1,0.0,1.5158593815062141e-05,1.2140363881185912e-05,6.025105735346597e-06
0,13,1,0.0,1.586540404161187e-05,1.0948196338998302e-05,6.770058843463071e-06
0,14,1,0.0,2.0630415831701186e-05,9.823574356354078e-06,7.121227980238006e-06
0,15,1,0.0,2.5872547349643415e-05,1.0969455813137005e-05,7.163185171310335e-06
0,16,1,0.0,2.5920353456142358e-05,1.1562937365450473e-05,8.460989265636955e-06
0,17,1,0.0,3.737523837521893e-05,1.399088549584995e-05,1.1099343329233685e-05
0,18,1,0.0,5.763917109030477e-05,1.5932474780924685e-05,1.5638639370221767e-05
0,19,1,0.0,9.459841301256071e-05,2.9433168492640888e-05,1.961729151252597e-05
0,20,1,0.0,0.00014953934403912753,4.080495902276257e-05,3.3598801074383035e-05
0,21,1,0.0,0.00035809701624325266,6.506662705374472e-05,6.353739126342693e-05
0,22,1,0.0,0.00035809701624325266,7.821155380660596e-05,7.917475099648264e-05
0,23,1,0.0,0.00035809701624325266,7.214470091705494e-05,7.348425255277358e-05
0,24,1,0.0,0.00035809701624325266,8.847128395861449e-05,7.37426570342097e-05
0,25,1,0.0,0.001186433599740649,0.00011361476523647804,0.00017014567430050293
0,26,1,0.0,0.001186433599740649,0.00015895217082089328,0.0002355515217161507
0,27,1,0.0,0.001207118780227339,0.00025563750478284315,0.0003076317602073575
0,28,1,0.0,0.0034243514892296468,0.0004400758560528529,0.0006410723406539473
0,29,1,0.0,0.004518355875362045,0.0006994355198021516,0.000843074566604406
0,30,1,0.0,0.005325002170623819,0.001137940223398156,0.0014000326744504784
0,31,1,0.0,0.005325002170623819,0.001824579452221925,0.00165182702581158
0,32,1,0.0,0.005325002170623819,0.002196357264972804,0.0017761993259657694
0,33,1,0.0,0.005377546861994675,0.002818092936344357,0.0016082906963302333
0,34,1,0.0,0.005377546861994675,0.002642273631253243,0.0018291049456079487
0,35,1,0.0,0.005325002170623819,0.0023167088988768313,0.001917460940585388
0,36,1,0.0,0.00567611573543654,0.0026469595607889035,0.001896820720707962
0,37,1,0.0,0.00567611573543654,0.0026921030299115085,0.002014033592313873
0,38,1,0.0,0.00567611573543654,0.003275110993203717,0.002015622570222108
0,39,1,0.0,0.00567611573543654,0.003440954980873914,0.002283735261904473
0,40,1,0.0,0.00567611573543654,0.0030470603950653835,0.0022580557088519378
0,41,1,0.0,0.00567611573543654,0.004078086123960829,0.0019802079417265838
0,42,1,0.0,0.005579995138319836,0.003970281512112306,0.0020048641536008936
0,43,1,0.0,0.005579995138319836,0.004263443094701559,0.001858623103739352
0,44,1,0.0,0.005579995138319836,0.0039017935751007892,0.0021885179718351116
0,45,1,0.0,0.005579995138319836,0.004472632985399117,0.001938765236879495
0,46,1,0.0,0.005579995138319836,0.004024625172620803,0.0022673611602492053
0,47,1,0.0,0.005579995138319836,0.0044306185630639495,0.0019874312636442228
0,48,1,0.0,0.005579995138319836,0.004457753408526322,0.0021099629904732806
0,49,1,0.0,0.005579995138319836,0.004388789106438716,0.001977288386248216
0,50,1,0.0,0.005579995138319836,0.004179400626689074,0.002345732626016067
0,51,1,0.0,0.005579995138319836,0.004669787410598109,0.0018232758498254128
0,52,1,0.0,0.005579995138319836,0.0038968077390444944,0.002454740554747118
0,53,1,0.0,0.005579995138319836,0.0046025032342064875,0.0018485962020849565
0,54,1,0.0,0.005579995138319836,0.004427165765442574,0.0021448521957499063
0,55,1,0.0,0.005579995138319836,0.004656411889597186,0.001903702845406377
0,56,1,0.0,0.005579995138319836,0.004643326863206688,0.0018705385615936437
0,57,1,0.0,0.005579995138319836,0.0046263996899100265,0.0017323327595147701
0,58,1,0.0,0.005579995138319836,0.004508205514934908,0.001981030837770136
0,59,1,0.0,0.005579995138319836,0.004742048621420566,0.001808341524156794
0,60,1,0.0,0.005579995138319836,0.0047867061455707915,0.0018053056808861074
0,61,1,0.0,0.005579995138319836,0.0042453084522896985,0.002205097883927137
