run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.0,42,150.5951296000021,/*9*/UUDDDFR,0.7539877026514049
1,0.0,36,126.97602249999909,/*9*/LBBLUUUU,0.7903294857512596
2,0.0,66,200.3187592999966,/*9*/DDDFLUUR,0.8606850755250968
3,0.0,37,130.08473389999926,/*9*/BRFLUUUU,0.800350622570894
4,0.0,74,210.78565829999934,/*9*/BFLRUUUL,0.9640970816785673
5,0.0,83,230.11071989999982,/*9*/RLFBUUUF,0.9625076645631613
