run,generation,genetic_format,mutation_intensity,best_vertpos,avg_vertpos,stddev_vertpos
0,0,9,0.0,-0.010200201026402525,-0.010200201026402525,0.0
0,1,9,0.0,-0.010199602773230513,-0.010239267474597519,5.051715733921891e-05
0,2,9,0.0,-0.010199602773230513,-0.010236685808425067,4.741912015428907e-05
0,3,9,0.0,-0.010199602773230513,-0.010253526190454882,5.9342608698984583e-05
0,4,9,0.0,-0.010199602773230513,-0.01024442860755944,5.5873552762838626e-05
0,5,9,0.0,-0.010199602773230513,-0.010236217722635084,4.573660494499674e-05
0,6,9,0.0,0.20614619993478267,-0.0059066723549101715,0.030293307931174938
0,7,9,0.0,0.2087409198101348,0.0008224161910244113,0.045305513043096844
0,8,9,0.0,0.23118504200630213,0.010977151000473003,0.06380316519400636
0,9,9,0.0,0.3054653683402979,0.0567566309334656,0.1069526317515204
0,10,9,0.0,0.6454739214472224,0.1655395361205118,0.13771787145852957
0,11,9,0.0,0.6454739214472224,0.17013388094612342,0.1504205916873505
0,12,9,0.0,0.6454739214472224,0.19936271984391213,0.1376772887161418
0,13,9,0.0,0.5408730386069137,0.19069008689255718,0.15598399512970565
0,14,9,0.0,0.6452453809371435,0.23039273509228494,0.1445784421693837
0,15,9,0.0,0.6452453809371435,0.18964345954482506,0.15489171211166994
0,16,9,0.0,0.6479527127944341,0.2562572810007605,0.13399425341511892
0,17,9,0.0,0.7519789601913016,0.3139735239029047,0.15192743885959845
0,18,9,0.0,0.753139458539777,0.27723006620042895,0.2145227638530519
0,19,9,0.0,0.7533739869172711,0.35947980896541165,0.21406354814095904
0,20,9,0.0,0.7533739869172711,0.3497966598244254,0.221995742201961
0,21,9,0.0,0.7519789601913016,0.3019910800219653,0.2333697780934595
0,22,9,0.0,0.7521907543339074,0.3390470263668232,0.20013143125636984
0,23,9,0.0,0.753354599904279,0.3311207720186941,0.244941579987005
0,24,9,0.0,0.753354599904279,0.3239831139602776,0.24321024318655077
0,25,9,0.0,0.7523308427942922,0.29786676388478567,0.22108426079948723
0,26,9,0.0,0.712860507063992,0.28953183897278445,0.18508361919201896
0,27,9,0.0,0.6514169963147972,0.27308174948725156,0.17837230129767814
0,28,9,0.0,0.7547828886391194,0.2942246172765994,0.19955162498537957
0,29,9,0.0,0.7534271300142587,0.3235482049255897,0.1978267729418695
0,30,9,0.0,0.7547828886391194,0.3982914849139935,0.1900459411631128
0,31,9,0.0,0.7533739869172711,0.4423469155465601,0.18185065540268805
0,32,9,0.0,0.7528679742620553,0.3677283037577865,0.2079227965254565
0,33,9,0.0,0.7528679742620553,0.38347796015117264,0.21590917165990314
0,34,9,0.0,0.7925584631376339,0.35722433139566256,0.21197290196848106
0,35,9,0.0,0.7925584631376339,0.339224479135292,0.2206490845152281
0,36,9,0.0,0.7590231641547636,0.3929402119253544,0.24424353695357973
0,37,9,0.0,0.7546267585893599,0.40440251972478614,0.22832332915697054
0,38,9,0.0,0.7546267585893599,0.38864222377179586,0.23106078282155448
0,39,9,0.0,0.7546267585893599,0.39353478138298065,0.2743114055014521
0,40,9,0.0,0.753354599904279,0.3943005173635026,0.21149714172964
0,41,9,0.0,0.7515700848884577,0.3365551686651913,0.2167913659541946
0,42,9,0.0,0.7525997916366663,0.4173896786754013,0.23490761360895476
0,43,9,0.0,0.7999054127581716,0.377387336467397,0.2541696231854344
0,44,9,0.0,0.7520609584947293,0.3905139006895268,0.2585788956734518
0,45,9,0.0,0.7521907543339074,0.4015103557021123,0.2255488433850718
0,46,9,0.0,0.7587053781627056,0.3865786706375246,0.24180138661043715
0,47,9,0.0,0.7059241465435584,0.3272806546938323,0.2061780928146994
0,48,9,0.0,0.7523947200255341,0.30922906656774396,0.20981057652523652
0,49,9,0.0,0.7523947200255341,0.3613763252901159,0.2085875750891039
0,50,9,0.0,0.7523947200255341,0.408182274850364,0.21324985943318386
0,51,9,0.0,0.7590231641547636,0.46567730981441985,0.2341152744627366
0,52,9,0.0,0.7546267585893599,0.423645403952203,0.22274154428185353
0,53,9,0.0,0.7590231641547636,0.4335422347198157,0.21907229398768369
0,54,9,0.0,0.7590231641547636,0.4434552797517334,0.22909668859790486
0,55,9,0.0,0.7590231641547636,0.4564920748800244,0.22392850524461627
0,56,9,0.0,0.7591393839401346,0.4675019549983126,0.22490360310443355
0,57,9,0.0,0.7591393839401346,0.4656864516570568,0.264682918498023
0,58,9,0.0,0.75481487547477,0.41206176279150214,0.21923469688322952
0,59,9,0.0,0.75481487547477,0.4436600052246902,0.22620773098862035
0,60,9,0.0,0.75481487547477,0.4037713097760542,0.2247579237142817
0,61,9,0.0,0.75481487547477,0.41995424304077017,0.2275953324151664
0,62,9,0.0,0.75481487547477,0.37148524652269915,0.23219407262371608
0,63,9,0.0,0.7590231641547636,0.4589458201020231,0.20526955776026087
0,64,9,0.0,0.75481487547477,0.4353567172088056,0.20128004929497137
0,65,9,0.0,0.7590231641547636,0.3807268797867711,0.22326167256685428
0,66,9,0.0,0.75481487547477,0.42020253115277106,0.23053732595883503
0,67,9,0.0,0.75481487547477,0.40046311683889413,0.22235213889457572
0,68,9,0.0,0.7589279866363401,0.44429203119876975,0.22738314942065124
1,0,9,0.0,-0.010200201026402525,-0.010200201026402525,0.0
1,1,9,0.0,-0.010199602773230513,-0.010226467437083305,4.405338687823234e-05
1,2,9,0.0,-0.010199602773230513,-0.01024210610340072,5.0349487734101935e-05
1,3,9,0.0,-0.010199602773230513,-0.010228328862786613,4.400304032721529e-05
1,4,9,0.0,-0.010199602773230513,-0.010230465811098282,5.348516783831018e-05
1,5,9,0.0,-0.010199569220213284,-0.010229774689260361,4.768628660723584e-05
