run,generation,genetic_format,mutation_intensity,best_vertpos,avg_vertpos,stddev_vertpos
0,0,0,0.0,-0.010399999294193912,-0.01039999929419391,1.734723475976807e-18
0,1,0,0.0,-0.010099997378562976,-0.010382827135078643,8.303613059037122e-05
0,2,0,0.0,-0.010099997378562976,-0.01025422624603213,0.0001523323609458111
0,3,0,0.0,-0.010099997378562976,-0.010145610445178166,0.00011461806543501099
0,4,0,0.0,-0.010099997378562976,-0.01012258741529518,7.932213471613724e-05
0,5,0,0.0,-0.010099997378562976,-0.01011735826510575,7.892769111828693e-05
0,6,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
0,7,0,0.0,-0.010099997378562976,-0.010099997378625691,3.8659335288150985e-13
0,8,0,0.0,-0.010099997378562976,-0.010099997378618563,3.645094084404577e-13
0,9,0,0.0,-0.010099997378562976,-0.010099997378617328,3.6052967381733185e-13
0,10,0,0.0,-0.010099997378562976,-0.01009999737862263,3.772882934981602e-13
0,11,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
0,12,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
0,13,0,0.0,-0.010099997378562976,-0.010099997378619855,3.68623807650217e-13
0,14,0,0.0,-0.010099997378562976,-0.010099997378562974,1.734723475976807e-18
0,15,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
0,16,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
0,17,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
0,18,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
0,19,0,0.0,-0.010099997378562976,-0.010099997378616147,3.566774198667758e-13
0,20,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
0,21,0,0.0,-0.010099997378562976,-0.010099997378671679,5.040387234955708e-13
0,22,0,0.0,-0.010099997378562976,-0.010100178631869676,1.2022980519397303e-06
0,23,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
0,24,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
0,25,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
0,26,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,0,0,0.0,-0.010399999294193912,-0.01039999929419391,1.734723475976807e-18
1,1,0,0.0,-0.010099997378562976,-0.010398180063181,7.403137474567497e-05
1,2,0,0.0,-0.010099997378562976,-0.010308661215752076,0.00014529201940145933
1,3,0,0.0,-0.010099997378562976,-0.010140427202268168,0.00012089140876274195
1,4,0,0.0,-0.010099997378562976,-0.010129467961295636,0.00011668385600901589
1,5,0,0.0,-0.010099997378562976,-0.010121393988160338,7.89669951070679e-05
1,6,0,0.0,-0.010099997378562976,-0.010107314808663372,4.798359803922334e-05
1,7,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,8,0,0.0,-0.010099997378562976,-0.010099997378616147,3.566774198667758e-13
1,9,0,0.0,-0.010099997378562976,-0.010099997378615016,3.5294598761347534e-13
1,10,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,11,0,0.0,-0.010099997378562976,-0.010099997378669316,4.987819118642721e-13
1,12,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,13,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,14,0,0.0,-0.010099997378562976,-0.010099997378562977,1.734723475976807e-18
1,15,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,16,0,0.0,-0.010099997378562976,-0.010099997378737676,6.298988734798184e-13
1,17,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,18,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,19,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,20,0,0.0,-0.010099997378562976,-0.010099997378619855,3.68623807650217e-13
1,21,0,0.0,-0.010099997378562976,-0.01010017469152723,1.1894515240820632e-06
1,22,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,23,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,24,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
1,25,0,0.0,-0.010099997378562976,-0.010099997378624121,3.8185589837237215e-13
1,26,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,0,0,0.0,-0.010399999294193912,-0.01039999929419391,1.734723475976807e-18
2,1,0,0.0,-0.010099997378562976,-0.010385280277929518,0.00010022159813084702
2,2,0,0.0,-0.010099997378562976,-0.010255756414675264,0.00015234064511734544
2,3,0,0.0,-0.010099997378562976,-0.010114711320818365,5.682066985578386e-05
2,4,0,0.0,-0.010099997378562976,-0.010133531249853457,0.00011782005612047916
2,5,0,0.0,-0.010099997378562976,-0.010106339707237302,4.2070249019705235e-05
2,6,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
2,7,0,0.0,-0.010099997378562976,-0.010099997378562976,0.0
