run,generation,genetic_format,mutation_intensity,best_velocity,avg_velocity,stddev_velocity
0,0,1,0.0,0.0,0.0,0.0
0,1,1,0.0,0.0,0.0,0.0
0,2,1,0.0,0.0,0.0,0.0
0,3,1,0.0,0.0,0.0,0.0
0,4,1,0.0,0.0,0.0,0.0
0,5,1,0.0,1.7763568394002505e-19,3.552713678800501e-21,2.486899575160351e-20
0,6,1,0.0,1.7763576864329959e-19,1.7763570088068e-20,5.329071026420506e-20
0,7,1,0.0,2.3299362812420262e-05,4.6598740247063655e-07,3.261910772850107e-06
0,8,1,0.0,2.357118694187144e-05,7.918131451580424e-07,3.943037866249113e-06
0,9,1,0.0,2.357118694187144e-05,2.1467075772067785e-06,6.019882756860418e-06
0,10,1,0.0,2.3832898274792594e-05,3.982229702840293e-06,7.84349818263696e-06
0,11,1,0.0,8.202912527538868e-05,1.3404266496166134e-05,1.3339979032475098e-05
0,12,1,0.0,0.00015430990160146624,1.923941100727003e-05,2.7180938894083405e-05
0,13,1,0.0,0.00019653625546658024,3.216491098594631e-05,4.4396103495555645e-05
0,14,1,0.0,0.0002555044338844638,7.159335029583164e-05,7.146714434391239e-05
0,15,1,0.0,0.00030779324164488737,0.00013003703691116217,7.703989662347755e-05
0,16,1,0.0,0.0004364366326373929,0.0001442554148236807,0.00010207394255574645
0,17,1,0.0,0.0004364366326373929,0.00015293861517797763,0.00010961332840683567
0,18,1,0.0,0.00045367014773440396,0.00016033000609812125,0.00011923722191500735
0,19,1,0.0,0.0005845163709745098,0.00017521208744970582,0.00012373378847355254
0,20,1,0.0,0.0005845163709745098,0.00022463063487736818,0.00014008201073579523
0,21,1,0.0,0.0005845163709745098,0.00020953712464324373,0.00014554656813869945
0,22,1,0.0,0.0005845163709745098,0.00025246697096522686,0.0001483251334493125
0,23,1,0.0,0.0005845163709745098,0.0002815378953238562,0.00015396659505748824
0,24,1,0.0,0.0005845163709745098,0.0002395285521909023,0.0001604200241487002
0,25,1,0.0,0.0005255062107839544,0.0002501481783313893,0.00015237162447544571
0,26,1,0.0,0.0005255062107839544,0.0002763912267188029,0.00014042339909937584
0,27,1,0.0,0.0005255062107839544,0.00025348167679762067,0.00016055104547725197
0,28,1,0.0,0.0004814076458149698,0.0002707805870294123,0.00015443092403323323
0,29,1,0.0,0.0005099396979721543,0.00026961137550243205,0.00015505942671317975
0,30,1,0.0,0.0005331669684617457,0.0002635584527413337,0.00016526422022429492
0,31,1,0.0,0.0005331669684617457,0.0002826537170377974,0.00013368021113425744
0,32,1,0.0,0.0005331669684617457,0.00026206579179840036,0.0001603420615170959
0,33,1,0.0,0.0004814076458149698,0.000261707191179416,0.0001432256508201644
0,34,1,0.0,0.0004814076458149698,0.00028008892995106375,0.00013972228641194183
0,35,1,0.0,0.00048593970166416336,0.0002778219684794168,0.0001338257200208123
0,36,1,0.0,0.0005178982746636931,0.0002830734249280678,0.00015702265148696953
0,37,1,0.0,0.0005627722338993942,0.00024389396064540647,0.00015561485201981404
0,38,1,0.0,0.0005664821928840556,0.0003094031387351454,0.00013904196341540172
0,39,1,0.0,0.0005664821928840556,0.00029903831118609545,0.00014559504102332167
0,40,1,0.0,0.0004814076458149698,0.0002802337049234744,0.0001524134397032089
0,41,1,0.0,0.0005291607755733872,0.0002900637264518041,0.0001398901596920653
0,42,1,0.0,0.0005291607755733872,0.0002718377125227379,0.00014070760443970104
0,43,1,0.0,0.0005291607755733872,0.0003058550179404895,0.00014306031366958372
0,44,1,0.0,0.0005291607755733872,0.00022818259209835836,0.00015658054607289772
