category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f9,9-3,3,best,16,0.10810810354487421,/*9*/DBFBLB,3
f9,9-3,3,best,17,0.10810725545159672,/*9*/DBFBRB,2
f9,9-3,3,best,18,0.08468732238765247,/*9*/DBFRRB,1
f9,9-3,3,best,19,0.06874392907339995,/*9*/DBBRRB,1
f9,9-3,3,best,20,0.2817336183248541,/*9*/DBBDRB,2
f9,9-3,3,best,21,0.08452161466923337,/*9*/DBBFRB,1
f9,9-3,3,best,22,0.10829325922578671,/*9*/DBFRB,2
f9,9-3,3,best,23,0.18295030699003206,/*9*/DBURB,1
f9,9-3,3,best,24,0.08451741507912107,/*9*/DBBRB,1
f9,9-3,3,best,25,0.10809185747012096,/*9*/DBLRB,1
f9,9-3,3,best,26,0.14743840176281064,/*9*/DBLRF,1
f9,9-3,3,best,27,0.08448235246630137,/*9*/DBLLRF,1
f9,9-3,3,best,28,0.10807877359214207,/*9*/DBLLR,2
f9,9-3,3,best,29,0.10807877359214207,/*9*/DBLLRR,1
f9,9-3,3,best,30,0.18365317206242956,/*9*/DBDLRR,1
f9,9-4,4,best,0,0.5276736432571427,/*9*/BDDBFRBUD,0
f9,9-4,4,best,1,0.46404676330340033,/*9*/BDDLFRBUD,1
f9,9-4,4,best,2,0.20181518283253652,/*9*/BFDLFRBUD,1
f9,9-4,4,best,3,0.3997569673588422,/*9*/BFDLFRBDD,1
f9,9-4,4,best,4,0.4503800863515681,/*9*/LFDLFRBDD,1
f9,9-4,4,best,5,0.365999699433256,/*9*/DFDLFRBDD,1
f9,9-4,4,best,6,0.29384459135971497,/*9*/DFLLFRBDD,1
f9,9-4,4,best,7,0.3002045768849666,/*9*/DFLLFRBRD,1
f9,9-4,4,best,8,0.2972811212191955,/*9*/DBLLFRBRD,1
f9,9-4,4,best,9,0.17149330781451336,/*9*/DBLLFRFRD,1
f9,9-4,4,best,10,0.3757852222062552,/*9*/DBLLFRFDD,1
f9,9-4,4,best,11,0.4227810426836114,/*9*/DBLLFUFDD,1
f9,9-4,4,best,12,0.06922243971122868,/*9*/DBLRFUFDD,1
f9,9-4,4,best,13,0.2922089994141781,/*9*/DBLRFUFDR,1
f9,9-4,4,best,14,0.29316925004388006,/*9*/DBLRFUBDR,1
f9,9-4,4,best,15,0.2817954165843552,/*9*/DBDRFUBDR,1
f9,9-4,4,best,16,0.29201730550698163,/*9*/DBDRFURBDR,1
f9,9-4,4,best,17,0.25568819508789065,/*9*/DBDRFURBFR,1
f9,9-4,4,best,18,0.35328250715376847,/*9*/LBDRFURBFR,1
f9,9-4,4,best,19,0.2041133918605647,/*9*/LBRFURBFR,1
f9,9-4,4,best,20,0.22396316034801902,/*9*/LBRFUFBFR,1
f9,9-4,4,best,21,0.2369145426905002,/*9*/LBFFUFBFR,1
f9,9-4,4,best,22,0.32989296888692277,/*9*/LBFFUFBBFR,2
f9,9-4,4,best,23,0.21893743844616156,/*9*/LBFFUFDBBFR,1
f9,9-4,4,best,24,0.2184819340957321,/*9*/LBFFUFDFBFR,1
f9,9-4,4,best,25,0.2497229461713406,/*9*/FBFFUFDFBFR,1
f9,9-4,4,best,26,0.25017642593690087,/*9*/FBFFUFDBBFR,1
f9,9-4,4,best,27,0.14996928949704366,/*9*/FBFFLFDBBFR,1
f9,9-4,4,best,28,0.18945440083761786,/*9*/FBFFLRFDBBFR,1
f9,9-4,4,best,29,0.14169367347395695,/*9*/FBLFLRFDBBFR,1
f9,9-4,4,best,30,0.24459789712603036,/*9*/FBLRLRFDBBFR,1
f9,9-5,5,best,0,0.5929922535856106,/*9*/UBUDBDR,0
f9,9-5,5,best,1,0.20352356847325717,/*9*/UBUDLDR,1
f9,9-5,5,best,2,0.23377491704776768,/*9*/UBUDDDR,1
f9,9-5,5,best,3,0.31715684618342244,/*9*/RBUDDDR,1
f9,9-5,5,best,4,0.21785315413979614,/*9*/RBDUDDDR,1
f9,9-5,5,best,5,0.2676415417394388,/*9*/RBDBDDDR,1
f9,9-5,5,best,6,0.27526780863386346,/*9*/RBDBFDDR,1
f9,9-5,5,best,7,0.30552669294188417,/*9*/RBDBUDDR,1
f9,9-5,5,best,8,0.3554971930596563,/*9*/RBDBUDDU,1
f9,9-5,5,best,9,0.06940658442435367,/*9*/RBDBFDDU,1
f9,9-5,5,best,10,0.26632281154025417,/*9*/RLDBFDDU,1
f9,9-5,5,best,11,0.3289214998688131,/*9*/RLUDBFDDU,1
f9,9-5,5,best,12,0.06940624099678502,/*9*/RBUDBFDDU,1
f9,9-5,5,best,13,0.49625561624142966,/*9*/RBUDBDDU,1
f9,9-5,5,best,14,0.069386194145128,/*9*/RBUDDDDU,1
f9,9-5,5,best,15,0.16862778990203625,/*9*/RBURDDDU,1
f9,9-5,5,best,16,0.30602781780743155,/*9*/RBURDDFU,1
f9,9-5,5,best,17,0.6922732292966912,/*9*/RUURDDFU,1
f9,9-5,5,best,18,0.5781033326472258,/*9*/RURRDDFU,1
f9,9-5,5,best,19,0.14871600298754903,/*9*/RURRDDFD,2
f9,9-5,5,best,20,0.5781033326472258,/*9*/RURRDDFU,1
f9,9-5,5,best,21,0.5449583179632056,/*9*/RURRDDFR,1
f9,9-5,5,best,22,0.23863474986718747,/*9*/RURRFDFR,1
f9,9-5,5,best,23,0.23301066613260876,/*9*/RURRFDFD,1
f9,9-5,5,best,24,0.20663315167375257,/*9*/RURRFBDFD,1
f9,9-5,5,best,25,0.3303286779667905,/*9*/RURRFUDFD,1
f9,9-5,5,best,26,0.232812497061051,/*9*/RURRFUDDD,1
f9,9-5,5,best,27,0.3689037288322243,/*9*/RBRRFUDDD,1
f9,9-5,5,best,28,0.29772375662474876,/*9*/RBRRFUDDU,1
f9,9-5,5,best,29,0.30833157094313984,/*9*/RBRRFUDDB,1
f9,9-5,5,best,30,0.06907736570309826,/*9*/RBRRFUDB,1
f9,9-6,6,high,0,0.6299791659835987,/*9*/DDDLLB,0
f9,9-6,6,high,1,0.25569486415124754,/*9*/DFDLLB,1
f9,9-6,6,high,2,0.06874938095959877,/*9*/DFFLLB,1
