category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f0,0-1,1,best,19,0.08257631255873758,"//0
p:fr=1.057
p:1.098, 0.027, 0.026
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457, fr=0.262, ing=0.259
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046
j:3, 4, stif=0.993, rotstif=0.99
j:1, 4, rotstif=0.87
j:2, 4, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:5, 2, stif=0.933
",1
f0,0-1,1,best,20,0.10591305393090462,"//0
p:fr=1.057
p:0.657, -0.335, -0.036
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457, fr=0.262, ing=0.259
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046
j:3, 4, stif=0.993, rotstif=0.99
j:1, 4, rotstif=0.87
j:2, 4, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:5, 2, stif=0.933
",1
f0,0-1,1,best,21,0.10594598654795125,"//0
p:fr=0.973
p:0.657, -0.335, -0.036
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457, fr=0.262, ing=0.259
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046
j:3, 4, stif=0.993, rotstif=0.99
j:1, 4, rotstif=0.87
j:2, 4, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:5, 2, stif=0.933
",1
f0,0-1,1,best,22,0.08391909337710922,"//0
p:fr=0.973
p:0.598, -0.078, -0.047
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457, fr=0.262, ing=0.259
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046
j:3, 4, stif=0.993, rotstif=0.99
j:1, 4, rotstif=0.87
j:2, 4, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:5, 2, stif=0.933
",1
f0,0-1,1,best,23,0.08377159299627651,"//0
p:fr=0.973
p:0.598, -0.078, -0.047
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457, fr=0.262, ing=0.259
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 4, stif=0.993, rotstif=0.99
j:1, 4, rotstif=0.87
j:2, 4, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:5, 2, stif=0.933
",1
f0,0-1,1,best,24,0.08361726656605487,"//0
p:fr=0.973
p:0.598, -0.078, -0.047
p:0.999, 0.265, 0.629, ing=0.075
p:1.447, -0.267, 0.457, fr=0.704, ing=0.259
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 4, stif=0.993, rotstif=0.99
j:1, 4, rotstif=0.87
j:2, 4, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:5, 2, stif=0.933
",1
f0,0-1,1,best,25,0.07831611448924439,"//0
p:fr=0.973
p:0.598, -0.078, -0.047
p:0.999, 0.265, 0.629, ing=0.075
p:1.420209039512969, -0.2682294389330912, 0.45144725932417057, fr=0.704, ing=0.259
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 5, stif=0.993, rotstif=0.99
j:1, 5, rotstif=0.87
j:2, 5, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:4, 2, stif=0.933
",1
f0,0-1,1,best,26,0.07831611448924439,"//0
p:fr=0.973
p:0.598, -0.078, -0.047
p:0.999, 0.265, 0.629, ing=0.075
p:1.420209039512969, -0.2682294389330912, 0.45144725932417057, fr=0.704, ing=0.295
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 5, stif=0.993, rotstif=0.99
j:1, 5, rotstif=0.87
j:2, 5, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:4, 2, stif=0.933
",1
f0,0-1,1,best,27,0.07808686628480747,"//0
p:fr=0.973
p:0.598, -0.078, -0.047, fr=0.893
p:0.999, 0.265, 0.629, ing=0.075
p:1.420209039512969, -0.2682294389330912, 0.45144725932417057, fr=0.704, ing=0.295
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 5, stif=0.993, rotstif=0.99
j:1, 5, rotstif=0.87
j:2, 5, stif=0.975
j:0, 3, stif=0.963, rotstif=0.989
j:4, 2, stif=0.933
",1
f0,0-1,1,best,28,0.07698403589263061,"//0
p:fr=0.973
p:0.598, -0.078, -0.047, fr=0.893
p:0.999, 0.265, 0.629, ing=0.075
p:1.420209039512969, -0.2682294389330912, 0.45144725932417057, fr=0.704, ing=0.295
p:0.332, 0.109, 1.502, ing=0.268
p:-0.536, -0.358, 0.046, fr=0.234
j:3, 5, stif=0.993, rotstif=0.99
j:1, 5, rotstif=0.87
j:2, 5, stif=0.975
j:0, 3, stif=0.904, rotstif=0.989
j:4, 2, stif=0.933
",1
