run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.5,90,278.4908885999994,/*9*/RUDDRFBUUL,0.6843068183468253
1,0.5,58,170.02711640000052,/*9*/DDDLRF,0.7592521203681829
2,0.5,103,314.6314861999999,/*9*/BDDRLRBUUU,0.8524599969699788
3,0.5,59,180.12324950000038,/*9*/DDDFR,0.7542393461799516
4,0.5,68,206.86495730000024,/*9*/RDLBUUU,0.7137167881538166
5,0.5,77,239.56479430000036,/*9*/FDDDBBRR,0.7281144724728816
6,0.5,72,218.32280509999873,/*9*/DDDRBFUL,0.7062198986003486
7,0.5,138,348.6892656,/*9*/BLRBLRLFUUUUB,0.8833804513776997
8,0.5,84,227.6787744000012,/*9*/DDUUDDDLFUB,0.7136170565137432
9,0.5,77,210.71136710000064,/*9*/DFRUULDDB,0.7011346211983819
