run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.3,82,284.57945160000054,/*9*/RBBRUUUU,0.7897004001263289
1,0.3,111,388.2771128000004,/*9*/RLFBUURLU,0.8292293151134212
2,0.3,85,310.76412359999995,/*9*/BDDFLUUU,0.8478275642291101
3,0.3,91,321.67223770000055,/*9*/RBBBFDDDFR,0.7627613058748581
4,0.3,79,272.20870450000075,/*9*/RBFUUU,0.7533341425582133
5,0.3,132,453.52085350000016,/*9*/RUFDLBUUUU,0.8172532332260194
6,0.3,129,357.43858040000123,/*9*/DDDLRF,0.7592521203681829
7,0.3,64,210.80949169999985,/*9*/DDDRLF,0.7590057910440126
8,0.3,75,214.0641001999993,/*9*/FDDDBRLL,0.8029660798863502
9,0.3,56,186.0056654,/*9*/RBUUU,0.7523556123850209
