run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.05,69,228.96181149999938,/*9*/BUDDDLRF,0.8051333098093424
1,0.05,89,299.6967584000013,/*9*/FBLRUUUL,0.9646923157927757
2,0.05,144,485.2588089000001,/*9*/RRBLFBUUUUF,0.888494444890518
3,0.05,110,369.19375200000104,/*9*/FBLRUUUL,0.9646923157927757
4,0.05,146,498.57381910000004,/*9*/RFLFBRUUUUL,0.9869456194237946
5,0.05,117,407.3428340999999,/*9*/RRFLBFUUUUU,0.9457857286274295
6,0.05,59,201.79163080000035,/*9*/BBFRUUUL,0.803495097128052
7,0.05,59,195.65899170000012,/*9*/DBRLUUUR,0.8897148571810569
8,0.05,73,220.23689550000017,/*9*/DDDDRFFL,0.7924276963911926
9,0.05,172,452.91681489999974,/*9*/BFRLUUUDUR,0.9620468624348603
