run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.1,78,266.76734810000016,/*9*/FBLRUUUL,0.9646923157927757
1,0.1,112,388.01429670000107,/*9*/RLRLBFUUUB,0.9639450959104919
2,0.1,97,327.3995070000001,/*9*/BFFLRUUUL,0.8287858285912618
3,0.1,183,625.0761162999988,/*9*/DDDFRUUF,0.8358520143618587
4,0.1,84,278.11025359999985,/*9*/FFRUUUL,0.7802301140428054
5,0.1,88,300.4448276000003,/*9*/BDDRBUUU,0.8524599969699788
6,0.1,246,661.4087031999989,/*9*/LDDDRLFFRLUUUU,1.009143228284804
7,0.1,111,363.62899430000107,/*9*/DDDDLRFBRF,0.8057569502254214
8,0.1,121,397.95870789999935,/*9*/BFRLUUUR,0.9620468624348603
9,0.1,109,361.6264714000008,/*9*/UDDDFRUUF,0.8364854612480788
