run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.2,123,413.8945543000009,/*9*/RLBFUUUB,0.9639450959104919
1,0.2,93,313.9913907000009,/*9*/DDDDFRBR,0.7948128549415611
2,0.2,106,370.41327570000067,/*9*/UDDDRBFBUUR,0.838818671685449
3,0.2,117,403.1772175999995,/*9*/BFRLUUUR,0.9620468624348603
4,0.2,174,579.882228299999,/*9*/RBLFUUUU,0.8006572142970716
5,0.2,159,574.8033787000004,/*9*/UULDDRBLRUUU,0.8154967728806891
6,0.2,125,403.3651184999999,/*9*/DLBFFBUUUU,0.8510975676405728
7,0.2,124,386.15567809999993,/*9*/DFLRUUUL,0.8911329744234334
8,0.2,132,393.62648959999933,/*9*/LBBRUUUU,0.7931641092225727
9,0.2,111,345.0907422,/*9*/FBRLUUUR,0.9621711176581496
