run,mutation_intensity,generations_completed,duration_seconds,hof_genotype,hof_vertpos
0,0.0,203,693.642396199999,/*9*/BDDDBRFLLBRUUUFBUU,1.0114545972382156
1,0.0,101,353.68653059999997,/*9*/RLBFUUUB,0.9639450959104919
2,0.0,94,316.31247500000063,/*9*/RRBFUUUB,0.8281472598323689
3,0.0,105,369.6375351000006,/*9*/LFLBRUUUUU,0.9462137517087207
4,0.0,138,466.59044410000024,/*9*/BFRLUUUR,0.9620468624348603
5,0.0,141,473.3448962000002,/*9*/RLFBUUUF,0.9629040217085331
6,0.0,73,237.09789780000028,/*9*/LLRBUUUF,0.8028452620152643
7,0.0,153,469.576159799999,/*9*/BRLLRBFUUUUU,1.0587440759603277
8,0.0,81,250.8239319000004,/*9*/DBLRUUUL,0.891568942115014
9,0.0,100,262.2803879999992,/*9*/FBLRUUUL,0.9646923157927757
