run,generation,mutation_intensity,best_vertpos,avg_vertpos,stddev_vertpos
0,0,0.05,0.14810951195883332,0.14810951195883335,2.7755575615628914e-17
0,1,0.05,0.2331619300415368,0.0597425792621428,0.08278155923108454
0,2,0.05,0.23319193690931111,0.06618726791643217,0.08848543632299516
0,3,0.05,0.4463479585283533,0.12271195119151149,0.11224063049784118
0,4,0.05,0.45087718260534065,0.14906239496465898,0.13819072061510998
0,5,0.05,0.44635346565999945,0.1582436127606976,0.1460462420699183
0,6,0.05,0.5428723417239937,0.19000243162568137,0.1383366923907376
0,7,0.05,0.5428723417239937,0.22317803930770455,0.13852420482381622
0,8,0.05,0.5428723417239937,0.25195977530963504,0.14991150642746875
0,9,0.05,0.5428812870380956,0.2791677749902382,0.1492974659294607
0,10,0.05,0.5430114956861931,0.2941015768207039,0.14661801553269185
0,11,0.05,0.7289853094454298,0.30518119688781675,0.1748080076497917
0,12,0.05,0.6513559668555831,0.30410079329680084,0.1655324152687351
0,13,0.05,0.6273382855235176,0.31046875145044966,0.17611309008505815
0,14,0.05,0.7540125061363782,0.3154003725569923,0.16524332917763898
0,15,0.05,0.7044258597680871,0.3181082240385103,0.15447486693651089
0,16,0.05,0.7542250447018342,0.3110328523433116,0.1944296443917429
0,17,0.05,0.7542250447018342,0.3620876755525998,0.23231051913336467
0,18,0.05,0.7585510443118042,0.37711972118651155,0.23605174928757627
0,19,0.05,0.8051333098093424,0.4167089828184146,0.22277839083815604
0,20,0.05,0.8051333098093424,0.36358582424947933,0.23827926919512496
0,21,0.05,0.7542250447018342,0.357541376167718,0.214200022463507
0,22,0.05,0.7589183162070225,0.3331006042175084,0.2317313459002521
0,23,0.05,0.7542393461799516,0.38404157420191287,0.21020113137210414
0,24,0.05,0.7592351889140646,0.39087238707039307,0.2432485395852741
0,25,0.05,0.7592351889140646,0.3990066472853556,0.21720563155253061
0,26,0.05,0.7542393461799516,0.3828302414612847,0.20462553566778868
0,27,0.05,0.7592351889140646,0.35044981802662845,0.19749594259804584
0,28,0.05,0.7592351889140646,0.36819289393280485,0.1973873388076539
0,29,0.05,0.7538730986188049,0.3610608319673871,0.16144264582854995
0,30,0.05,0.7590057910440126,0.39469983751562987,0.20577774167560675
0,31,0.05,0.7592351889140646,0.39914582502204843,0.2148040107287107
0,32,0.05,0.7590994773826727,0.40399860899436396,0.24313504755942578
0,33,0.05,0.7945093770022128,0.42503145208683074,0.24042232758357074
0,34,0.05,0.7589183162070225,0.3864956161904798,0.2544085709946319
0,35,0.05,0.7583108183016118,0.3734885687403166,0.2075091825520641
0,36,0.05,0.7590497318354704,0.34741284280597834,0.21226945756122284
0,37,0.05,0.7583108183016118,0.36380192995551247,0.21549294710694458
0,38,0.05,0.7590497318354704,0.47097173518053403,0.2367544466491903
0,39,0.05,0.7590497318354704,0.43134500697397177,0.2605658193957522
0,40,0.05,0.7590994773826727,0.4338192110939798,0.23733406665479675
0,41,0.05,0.7590994773826727,0.4337707376082616,0.22540995172135497
0,42,0.05,0.7590497318354704,0.4240163044182637,0.2441560084616479
0,43,0.05,0.7592351889140646,0.4153014034189684,0.2442418146833631
0,44,0.05,0.7590994773826727,0.42603469955610485,0.25093754852334127
0,45,0.05,0.7590994773826727,0.42691211258891926,0.2118537693710467
0,46,0.05,0.7590994773826727,0.43985296011725333,0.23204944391069832
0,47,0.05,0.7590994773826727,0.40838264187035406,0.22870811101411243
0,48,0.05,0.7590994773826727,0.4048137967807722,0.20046761403496996
0,49,0.05,0.7590497318354704,0.42236992626669745,0.1815168300720052
0,50,0.05,0.7590497318354704,0.45330619674293393,0.18875451829607046
0,51,0.05,0.7592351889140646,0.4259698962610785,0.2153275776472176
0,52,0.05,0.7879323370689993,0.3938392470515745,0.220451940997498
0,53,0.05,0.7590497318354704,0.36718096112763055,0.21092985136229786
0,54,0.05,0.7540349294525934,0.402365145997845,0.20445571915027577
0,55,0.05,0.759148229181722,0.3953006813989077,0.2154868424694906
0,56,0.05,0.7592521203681829,0.41957106765061153,0.20302215803706744
0,57,0.05,0.7592521203681829,0.41939402485115734,0.22864297377265894
0,58,0.05,0.7592351889140646,0.4286773870100901,0.21428439595228033
0,59,0.05,0.7592351889140646,0.4114497018464943,0.22760779959849683
0,60,0.05,0.759148229181722,0.3724868923796834,0.2039685896278167
0,61,0.05,0.7536407685734156,0.400496343000578,0.23015810950923846
0,62,0.05,0.7538914744945736,0.33215275915754433,0.2307074854910701
0,63,0.05,0.7069488598728396,0.3515006510814259,0.19944563952768146
0,64,0.05,0.7538914744945736,0.40336334613481867,0.22115850343716872
0,65,0.05,0.7542250447018342,0.4034480317933478,0.20965023761908577
0,66,0.05,0.7538914744945736,0.3784690030769782,0.2387169167186004
0,67,0.05,0.7590057910440126,0.34203724616136355,0.21552356141042348
0,68,0.05,0.7538914744945736,0.37532085526512354,0.2016390708814919
0,69,0.05,0.7538914744945736,0.30905079488322507,0.20335563657198646
1,0,0.05,0.14810951195883332,0.14810951195883335,2.7755575615628914e-17
1,1,0.05,0.20817910897850112,0.05464672938575752,0.07680042726233477
1,2,0.05,0.2331619300415368,0.05789049622101121,0.08595348730997793
1,3,0.05,0.43729980360566223,0.07355850471058989,0.10452557275330177
1,4,0.05,0.4448141866350033,0.12325055390651249,0.15080767047405125
1,5,0.05,0.4988173574780328,0.15548818863602762,0.15893488109615825
1,6,0.05,0.4988617644810145,0.1987671790539569,0.15277958652175458
1,7,0.05,0.4594535031272929,0.200162022044133,0.14705708012689528
1,8,0.05,0.4594535031272929,0.21123890828377984,0.15364847580633298
1,9,0.05,0.4449409356291924,0.1720218682609887,0.15577786832941756
1,10,0.05,0.4594535031272929,0.19071692900546927,0.14235240206396757
1,11,0.05,0.44318931261970484,0.24953377581929226,0.13978989750997148
1,12,0.05,0.6498155835150907,0.24939518819978265,0.16648816837402383
1,13,0.05,0.7506766709925053,0.26235236407363166,0.17758534068301293
1,14,0.05,0.6481674247341339,0.2854522836209624,0.1711620340993763
1,15,0.05,0.7530493508213869,0.3088885563032794,0.19066557589864475
1,16,0.05,0.7509490060708345,0.31987174597811885,0.19516957081568784
1,17,0.05,0.7552036047732303,0.3445470154238121,0.19571697266057186
1,18,0.05,0.7537839977131372,0.34413692098295,0.20360418539101463
1,19,0.05,0.753548416286227,0.31980673086752975,0.2477388099157842
1,20,0.05,0.7519154427885169,0.2794808102286768,0.2471528801657328
1,21,0.05,0.7550000128991713,0.3543295945307463,0.21748803699926608
1,22,0.05,0.7550000128991713,0.3377394566977373,0.25262324745266324
1,23,0.05,0.7550000128991713,0.33721465679144935,0.21732906240240074
1,24,0.05,0.753548416286227,0.3346790631727022,0.20748494056769332
1,25,0.05,0.7946048262220181,0.397878034499887,0.22811903942301637
1,26,0.05,0.7946048262220181,0.3309254732700526,0.25599608734521345
1,27,0.05,0.7946048262220181,0.3910483089543294,0.25818549423827264
1,28,0.05,0.7946048262220181,0.4595229655230619,0.2414034036151525
1,29,0.05,0.753548416286227,0.347366064085433,0.2513358155463718
1,30,0.05,0.7590903884415275,0.3830398449958124,0.24874138885215732
1,31,0.05,0.7946048262220181,0.3748574551390466,0.26503735131870004
1,32,0.05,0.8349280958763567,0.3948763224867764,0.2645971982887221
1,33,0.05,0.7550044398801992,0.3993629264186079,0.24616157017840568
1,34,0.05,0.8349280958763567,0.34507887820904054,0.2509817855960611
1,35,0.05,0.8349280958763567,0.3867275533197047,0.228210028091651
1,36,0.05,0.8349280958763567,0.33840335971931507,0.23567818046773487
1,37,0.05,0.7519154427885169,0.30749379185455183,0.23350497272959417
1,38,0.05,0.8349280958763567,0.39371069143526394,0.21480575018243875
1,39,0.05,0.9646923157927757,0.38865770019555934,0.20631134182549102
1,40,0.05,0.9646923157927757,0.4171554502288843,0.24794221516003193
1,41,0.05,0.9646923157927757,0.3714533070472646,0.23718262935251988
1,42,0.05,0.9646923157927757,0.4370505401551918,0.2295538960529593
1,43,0.05,0.9646923157927757,0.38800656279694956,0.2714929375680656
1,44,0.05,0.9646923157927757,0.37696892585441333,0.261140612623858
1,45,0.05,0.8875002220276731,0.411043636225644,0.2260433005515756
1,46,0.05,0.8875002220276731,0.4319112379343651,0.22668700075256748
1,47,0.05,0.8875002220276731,0.3543687426346008,0.24911436913677584
1,48,0.05,0.8875002220276731,0.35887415016083624,0.24589159419398765
1,49,0.05,0.9646923157927757,0.4189871014373292,0.2389945828430313
1,50,0.05,0.9646923157927757,0.3349393383780573,0.2464793509262934
1,51,0.05,0.9646923157927757,0.3699537840080053,0.22761984615822678
1,52,0.05,0.8288057938112523,0.36295168377538567,0.21230881569947013
1,53,0.05,0.752412929216998,0.38188926106320875,0.1993610951155928
1,54,0.05,0.7520300510199687,0.4070915416733319,0.18463573423093452
1,55,0.05,0.7548434196607452,0.39127859074664156,0.21410615370406647
1,56,0.05,0.759122701748835,0.37170353321830396,0.22336329107793615
1,57,0.05,0.7552036047732303,0.4003295523574839,0.23650794792996668
1,58,0.05,0.759122701748835,0.36180578970299315,0.23970884309728108
1,59,0.05,0.7538350292268069,0.4751765037008917,0.2124729453709168
