run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
8,1,0,0,X,0.0,
8,1,7,1,"rcqX[|,1:1,r:1]X[G][|,-1:1.132]",0.0003957741686820084,"rcqX[|,1:1]X[G][|,-1:1.132]"
8,1,14,2,"rcqX[|,1:0.875]RX[G][|,-1:-0.1]",0.0017480816369739851,"rcqX[|,1:0.875]RX[G][|,-1:-0.041]"
8,1,33,3,"rcqX[N, 2:1][|, 1:0.875]RX[G][|, -1:-0.093]",0.0017936086461477821,"rcqX[|,1:0.875]RX[G][|,-1:-0.093]"
