run,genetic_format,sample_index,parent_genotype,parent_fitness,genotype,fitness,status,mutation_attempts
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, stif=0.987
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:1.0
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:fr=0.921
p:1.0
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, rotstif=0.924
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:fr=0.345
p:1.0
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, fr=0.209
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1
n:d=*
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:ing=0.234
p:1.0
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.668, -0.45, 0.071
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1
n:
c:0, 0, -0.631
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, stif=0.941
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
p:0.677, 0.653, -0.459
j:0, 1
j:2, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1
n:p=0, d=Gpart
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, stif=0.999
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
p:0.001, -0.006, 0.007
j:0, 1
j:2, 0
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, stif=0.979
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, ing=0.039
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:0.719, 0.009, 0.042
p:1.0
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:fr=0.664
p:1.0
j:0, 1
",0.0,feasible,20
3,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, rotstif=0.992
",0.0,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.227
",0.0008070302588290033,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.756
n:j=1, d=|:p=0.156
",0.000984342951021808,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022, ing=0.283
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
n:
c:1, 1, 2.186
",0.0011444854775558304,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.782
n:j=1, d=|:p=0.156
",0.001089184614383474,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:1, 0, stif=0.971
j:3, 0
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",3.018511985566062e-07,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1, stif=0.958
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011333639511306097,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971, rotstif=0.916
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,feasible,20
3,0,1,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
",0.0011444854775558304,"//0
p:fr=0.022
p:1.1796961360998497, 0.22474315733746075, -0.48110116104334655, fr=0.595
p:0.214, 0.143, 0.906, fr=0.588
p:-0.453, 0.426, 0.656, fr=0.366
j:0, 1, stif=0.971
j:3, 1
j:2, 3, stif=0.774
n:j=1, d=|:p=0.156
n:d=*
c:0, 1, 3.422
",1.366117097415245e-05,feasible,20
