run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
3,0,0,0,"//0
p:
p:1
j:0,1",0.0,
3,0,1,1,"//0
p:
p:1.0
p:0.488, 0.199, -0.146
j:0, 1
j:2, 1
",8.330302785281845e-18,"//0
p:
p:1
j:0,1"
3,0,2,2,"//0
p:-0.167, -0.155, -0.438
p:1.0
p:0.488, 0.199, -0.146
j:0, 1
j:2, 1
",5.479230068197675e-10,"//0
p:
p:1.0
p:0.488, 0.199, -0.146
j:0, 1
j:2, 1
"
3,0,3,3,"//0
p:-0.167, -0.155, -0.438
p:1.0
p:0.488, 0.199, -0.146
p:0.766, 1.001, 0.516
j:0, 1
j:2, 1
j:3, 2
",1.5835659071707438e-08,"//0
p:-0.167, -0.155, -0.438
p:1.0
p:0.488, 0.199, -0.146
j:0, 1
j:2, 1
"
3,0,4,4,"//0
p:-0.167, -0.155, -0.438
p:1.0
p:0.488, 0.199, -0.146
p:0.766, 1.001, 0.516
j:3, 1
j:2, 1
j:0, 2
",1.0814705481805246e-06,"//0
p:-0.167, -0.155, -0.438
p:1.0
p:0.488, 0.199, -0.146
p:0.766, 1.001, 0.516
j:0, 1
j:2, 1
j:3, 2
"
3,0,8,5,"//0
p:-0.627, -0.446, -0.353
p:1.0
p:0.488, 0.199, -0.146
p:0.766, 1.001, 0.516
j:3, 1
j:2, 1
j:0, 2
",2.2106798128235556e-06,"//0
p:-0.167, -0.155, -0.438
p:1.0
p:0.488, 0.199, -0.146
p:0.766, 1.001, 0.516
j:3, 1
j:2, 1
j:0, 2
"
3,0,9,6,"//0
p:-0.627, -0.446, -0.353
p:1.0
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1
j:2, 1
j:0, 2
",2.3423908269530084e-06,"//0
p:-0.627, -0.446, -0.353
p:1.0
p:0.488, 0.199, -0.146
p:0.766, 1.001, 0.516
j:3, 1
j:2, 1
j:0, 2
"
3,0,10,7,"//0
p:-0.627, -0.446, -0.353
p:1.0
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.977
j:2, 1
j:0, 2
",2.400707478973733e-06,"//0
p:-0.627, -0.446, -0.353
p:1.0
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1
j:2, 1
j:0, 2
"
3,0,11,8,"//0
p:-0.627, -0.446, -0.353, fr=0.227
p:1.0
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.977
j:2, 1
j:0, 2
",2.4136699919075725e-06,"//0
p:-0.627, -0.446, -0.353
p:1.0
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.977
j:2, 1
j:0, 2
"
3,0,12,9,"//0
p:-0.627, -0.446, -0.353, fr=0.227
p:1.0, fr=0.424
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.977
j:2, 1
j:0, 2
",2.4195747507998348e-06,"//0
p:-0.627, -0.446, -0.353, fr=0.227
p:1.0
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.977
j:2, 1
j:0, 2
"
3,0,13,10,"//0
p:-0.627, -0.446, -0.353, fr=0.227
p:1.0, fr=0.424
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.989
j:2, 1
j:0, 2
",2.4233444821278287e-06,"//0
p:-0.627, -0.446, -0.353, fr=0.227
p:1.0, fr=0.424
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.977
j:2, 1
j:0, 2
"
3,0,14,11,"//0
p:-0.627, -0.446, -0.353, fr=0.227
p:1.0, fr=0.424
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.989
j:2, 1
j:0, 2
n:j=2, d=|
",2.44403084994676e-06,"//0
p:-0.627, -0.446, -0.353, fr=0.227
p:1.0, fr=0.424
p:0.488, 0.199, -0.146
p:0.767, 0.949, 0.486
j:3, 1, stif=0.989
j:2, 1
j:0, 2
"
