run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
59,1,0,0,X,0.0,
59,1,9,1,"RX[|,1:3.121][T]fX[|,-1:13.455]X",0.0001025134993907825,"RX[|,1:1][T]fX[|,-1:13.455]X"
59,1,18,2,"RX[|,1:3.144][T,r:1]fX[|,-1:20.288]X",0.00031506969553135144,"RX[|,1:3.144][T]fX[|,-1:20.288]X"
59,1,37,3,"RX[|, 1:3.144][T]fX[T][|, -2:20.288]X",0.00031506969553135144,"RX[|,1:3.144][T]fX[|,-1:20.288]X"
