run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
32,0,0,0,"//0
p:
p:1
j:0,1",0.0,
32,0,1,1,"//0
p:
p:1.0
p:0.441, -0.032, 0.071
j:0, 1
j:2, 1
",9.353633659215454e-08,"//0
p:
p:1
j:0,1"
32,0,1,2,"//0
p:
p:1.0
p:0.441, -0.032, 0.071
j:0, 1
j:2, 1, stif=0.958
",1.0047203327292441e-07,"//0
p:
p:1.0
p:0.441, -0.032, 0.071
j:0, 1
j:2, 1
"
32,0,2,3,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.958
",4.297970268849814e-07,"//0
p:
p:1.0
p:0.441, -0.032, 0.071
j:0, 1
j:2, 1, stif=0.958
"
32,0,3,4,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.833
",4.6810240544155246e-07,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.958
"
32,0,4,5,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.605
",5.75772209587964e-07,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.833
"
32,0,5,6,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.366
",7.364478700202295e-07,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.605
"
32,0,6,7,"//0
p:-0.447, -0.115, -0.148
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.366
",2.1711681956558745e-06,"//0
p:
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.366
"
32,0,7,8,"//0
p:-0.447, -0.115, -0.148
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:2, 1
j:0, 1, stif=0.366
",2.534703121218924e-06,"//0
p:-0.447, -0.115, -0.148
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:0, 1
j:2, 1, stif=0.366
"
32,0,8,9,"//0
p:-0.447, -0.115, -0.148
p:1.0
p:0.441, -0.032, 0.071, fr=0.011, ing=0.315
j:2, 1
j:0, 1, stif=0.366
",2.534703121218924e-06,"//0
p:-0.447, -0.115, -0.148
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:2, 1
j:0, 1, stif=0.366
"
32,0,9,10,"//0
p:-0.447, -0.115, -0.148
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 1
j:0, 1, stif=0.366
",2.5807497098203645e-06,"//0
p:-0.447, -0.115, -0.148
p:1.0
p:0.441, -0.032, 0.071, fr=0.011
j:2, 1
j:0, 1, stif=0.366
"
32,0,10,11,"//0
p:-0.447, -0.115, -0.148
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 1, stif=0.906
j:0, 1, stif=0.366
",2.588839316236721e-06,"//0
p:-0.447, -0.115, -0.148
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 1
j:0, 1, stif=0.366
"
32,0,11,12,"//0
p:-0.447, -0.115, -0.148
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 0, stif=0.906
j:1, 0, stif=0.366
",2.6744918003514775e-06,"//0
p:-0.447, -0.115, -0.148
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 1, stif=0.906
j:0, 1, stif=0.366
"
32,0,12,13,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 0, stif=0.906
j:1, 0, stif=0.366
",2.6744920909140064e-06,"//0
p:-0.447, -0.115, -0.148
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 0, stif=0.906
j:1, 0, stif=0.366
"
32,0,13,14,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 0, stif=0.906
j:1, 0, stif=0.366
n:j=0, d=@
",2.674492100432598e-06,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 0, stif=0.906
j:1, 0, stif=0.366
"
32,0,14,15,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@
",2.78178417318004e-06,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
j:2, 0, stif=0.906
j:1, 0, stif=0.366
n:j=0, d=@
"
32,0,15,16,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@
",3.6449873031725817e-06,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.011
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@
"
32,0,16,17,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@:p=0.924
",3.6451428883101163e-06,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@
"
32,0,17,18,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@:p=0.924
n:p=3, d=T
c:0, 1, 0.651
",3.874321842237544e-06,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@:p=0.924
"
32,0,18,19,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@:p=0.924
n:p=3, d=T
c:0, 1, -0.714
",6.343359150609096e-06,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@:p=0.924
n:p=3, d=T
c:0, 1, 0.651
"
32,0,19,20,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.819, 0.263, 0.594
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@:p=0.924
n:p=3, d=T
c:0, 1, -0.714
",0.00024754654034337195,"//0
p:-0.447, -0.115, -0.148, fr=0.415
p:0.895, 0.005, 0.364
p:0.441, -0.032, 0.071, fr=0.685
p:0.444, -0.048, 0.27
j:2, 0, stif=0.906
j:1, 0, stif=0.366
j:3, 2
n:j=0, d=@:p=0.924
n:p=3, d=T
c:0, 1, -0.714
"
