run,genetic_format,sample_index,parent_genotype,parent_fitness,genotype,fitness,status,mutation_attempts
24,1,0,X,0.0,fX,0.0,feasible,55
24,1,0,X,0.0,X[N],0.0,feasible,55
24,1,0,X,0.0,X[*],0.0,feasible,55
24,1,0,X,0.0,RX,0.0,feasible,55
24,1,0,X,0.0,lX,0.0,feasible,55
24,1,0,X,0.0,cX,0.0,feasible,55
24,1,0,X,0.0,rX,0.0,feasible,55
24,1,0,X,0.0,X[S],0.0,feasible,55
24,1,0,X,0.0,XX,0.0,feasible,55
24,1,0,X,0.0,X[G],0.0,feasible,55
24,1,0,X,0.0,CX,0.0,feasible,55
24,1,0,X,0.0,mX,0.0,feasible,55
24,1,0,X,0.0,QX,0.0,feasible,55
24,1,0,X,0.0,LX,0.0,feasible,55
24,1,0,X,0.0,FX,0.0,feasible,55
24,1,0,X,0.0,X[|],0.0,feasible,55
24,1,0,X,0.0,qX,0.0,feasible,55
24,1,0,X,0.0,X[Gpart],0.0,feasible,55
24,1,0,X,0.0,MX,0.0,feasible,55
24,1,0,X,0.0,X[T],0.0,feasible,55
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:1.706,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|,r:1]X, fX,)",3.293346510534883e-08,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:3.43,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:2.22,r:1]QX, fX,)",3.4660226917198204e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:4.026,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:-0.655,r:1]X, fX,)",1.3308882387310384e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:-0.04,r:1]X, fX,)",1.578341933926243e-06,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:3.721,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:1.437,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:2.22,r:0.8]X, fX,)",3.181045645096752e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:5.952,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:-0.338,r:1]X, fX,)",9.988484022338977e-06,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:0.122,r:1]X, fX,)",4.9259072582428e-06,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:1.045,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"XC(mX[*][|, -1:2.22,r:1]X, fX,)",1.1672186057883634e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:2.22,r:1]X, FfX,)",1.7909280446193514e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:-0.692,r:1]X, fX,)",1.3327147323394249e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:0.714,r:1]X, fX,)",2.9797554090965235e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:-1.318,r:1]X, fX,)",1.4024220386190986e-05,feasible,24
24,1,1,"C(mX[*][|, -1:2.22,r:1]X, fX,)",3.466022692148112e-05,"C(mX[*][|, -1:3.426,r:1]X, fX,)",3.466022692148112e-05,feasible,24
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1, r:0.945]cX, rL(LfX, ))",6.223213558342027e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1, r:1]cX, rL(XLfX, ))",1.9696459735822936e-07,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1, r:1]cX, rL(fX, ))",5.833474621221607e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1, r:1]cX, L(LfX, ))",6.250145244194992e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX ))",6.251078084712742e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:0.106, r:1]cX, rL(LfX, ))",1.0364597015859402e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:3.084, r:1]cX, rL(LfX, ))",6.250204999750674e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"XL(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",2.1888785454526735e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1]cX, rL(LfX, ))",4.392673563873137e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:-0.752, r:1]cX, rL(LfX, ))",5.7756322576022535e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1.246, r:1]cX, rL(LfX, ))",6.250204999750674e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:0.771, r:1]cX, rL(LfX, ))",5.846455864725363e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1.336, r:1]cX, rL(LfX, ))",6.250204999750674e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:-0.414, r:1]cX, rL(LfX, ))",3.780894502451598e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1.273, r:1]cX, rL(LfX, ))",6.250204999750674e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:1.354, r:1]cX, rL(LfX, ))",6.250204999750674e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:-0.419, r:1]cX, rL(LfX, ))",3.8037229970484836e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:2.184, r:1]cX, rL(LfX, ))",6.250204999750674e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"L(CmmX[*][|, -1:-1.068, r:1]cX, rL(LfX, ))",6.219666351536154e-05,feasible,21
24,1,2,"L(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",6.250204999750674e-05,"(CmmX[*][|, -1:1, r:1]cX, rL(LfX, ))",5.833396063231573e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:3.129, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:2.45, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:-0.91, r:1]cfX[@,-2:2.972], L(LfX ))",3.3838155885851994e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:2.021, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:1.538], L(LfX ))",6.815489471169186e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:2.873, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:-0.622, r:1]cfX[@,-2:2.972], L(LfX ))",1.335063356272608e-05,feasible,21
24,1,3,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972], L(LfX ))",6.815489471169186e-05,"L(CmmcX[*][|, -1:1, r:1]cfX[@,-2:2.972,p:1], L(LfX ))",6.287943799258584e-05,feasible,21
