run,genetic_format,sample_index,parent_genotype,parent_fitness,genotype,fitness,status,mutation_attempts
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1
n:p=0, d=T
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1
n:p=1, d=S
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, ing=0.227
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, stif=0.847
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:0.979, 0.304, 0.319
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:ing=0.308
p:1.0
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.747, -0.036, -0.202
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, fr=0.402
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
p:-0.268, 1.142, 0.582
j:0, 1
j:2, 1
",3.4340542153414033e-13,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, ing=0.382
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:fr=0.282
p:1.0
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:-0.133, -0.101, -0.066
p:1.0
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
p:0.656, -0.055, 0.013
j:0, 1
j:2, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:ing=0.381
p:1.0
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, fr=0.184
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, ing=0.379
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0, ing=0.351
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:ing=0.271
p:1.0
j:0, 1
",0.0,feasible,21
19,0,0,"//0
p:
p:1
j:0,1",0.0,"//0
p:
p:1.0
j:0, 1, rotstif=0.998
",0.0,feasible,21
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1, rotstif=0.784
",1.5095380865831905e-14,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:0.045, -0.037, 0.126
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.7763568394002505e-19,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0, ing=0.197
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:-0.774, 0.054, 0.033
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.7347234759768072e-22,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:1, 0
j:2, 0
",0.0,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.659, 0.347, 1.114
j:0, 1
j:2, 1
",1.7763568394002505e-19,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
n:p=0, d=T
",1.5095380865831905e-14,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1, stif=0.909
",0.0,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.581, 0.381, 1.137, fr=0.699
j:0, 1
j:2, 1
",1.4797929171055357e-14,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:0.83, 0.489, 0.014
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.7347234759768072e-22,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
n:j=0, d=|
",1.5095380828233583e-14,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
p:0.581, 0.381, 1.137, fr=0.823
j:0, 1
j:2, 1
",0.0,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0, fr=0.166
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.7347234759768072e-22,feasible,24
19,0,1,"//0
p:
p:1.0
p:0.581, 0.381, 1.137
j:0, 1
j:2, 1
",1.5095380865831905e-14,"//0
p:
p:1.0
j:0, 1
",0.0,feasible,24
