run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
49,1,0,0,X,0.0,
49,1,6,1,"rXX[T][|,-1:0.73]",0.00027032021610819183,"rXX[T][|,-1:0.655]"
49,1,14,2,"rXX[T][|,-1:1.535]",0.00043554645614009437,"rXX[T][|,-1:1.543]"
49,1,34,3,"rXX[T,rz:0][|,-1:1.535]",0.00043554645614009437,"rXX[T][|,-1:1.535]"
