run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
6,0,0,0,"//0
p:
p:1
j:0,1",0.0,
6,0,1,1,"//0
p:0.367, -0.274, 0.438
p:1.0
j:0, 1
",1.7356793047969133e-17,"//0
p:
p:1
j:0,1"
6,0,2,2,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
j:0, 1
j:2, 0
",1.1196547916988876e-13,"//0
p:0.367, -0.274, 0.438
p:1.0
j:0, 1
"
6,0,3,3,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
j:0, 1
j:2, 0
j:3, 0
",2.3396327340257308e-07,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
j:0, 1
j:2, 0
"
6,0,4,4,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:0, 1
j:2, 0
j:3, 0
j:4, 1
",4.1888490743695144e-07,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
j:0, 1
j:2, 0
j:3, 0
"
6,0,5,5,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1
j:2, 3
j:0, 3
j:4, 1
",8.673283020267406e-07,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:0, 1
j:2, 0
j:3, 0
j:4, 1
"
6,0,6,6,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1
j:2, 3
j:0, 3
j:4, 1
",1.1419333129645359e-06,"//0
p:0.367, -0.274, 0.438
p:1.0
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1
j:2, 3
j:0, 3
j:4, 1
"
6,0,7,7,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1
j:2, 3
j:0, 3
j:4, 1, stif=0.982
",1.1525083569996363e-06,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1
j:2, 3
j:0, 3
j:4, 1
"
6,0,8,8,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1, stif=0.906
j:2, 3
j:0, 3
j:4, 1, stif=0.982
",1.338284045286418e-06,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1
j:2, 3
j:0, 3
j:4, 1, stif=0.982
"
6,0,10,9,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.207, -0.546, -1.298
j:3, 1, stif=0.906
j:2, 3
j:0, 3
j:4, 1, stif=0.982
",2.0883177879367424e-06,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.596, -0.816, -1.527
j:3, 1, stif=0.906
j:2, 3
j:0, 3
j:4, 1, stif=0.982
"
6,0,11,10,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.207, -0.546, -1.298
j:3, 1, stif=0.731
j:2, 3
j:0, 3
j:4, 1, stif=0.982
",2.2897986635513553e-06,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.207, -0.546, -1.298
j:3, 1, stif=0.906
j:2, 3
j:0, 3
j:4, 1, stif=0.982
"
6,0,12,11,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058, fr=0.252
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.207, -0.546, -1.298
j:3, 1, stif=0.731
j:2, 3
j:0, 3
j:4, 1, stif=0.982
",2.370340155478362e-06,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.207, -0.546, -1.298
j:3, 1, stif=0.731
j:2, 3
j:0, 3
j:4, 1, stif=0.982
"
6,0,13,12,"//0
p:0.439, -0.021, 0.354
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058, fr=0.252
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.207, -0.546, -1.298
j:3, 1, stif=0.731
j:2, 3
j:0, 3
j:4, 1, stif=0.982
",3.6807883655230285e-06,"//0
p:0.367, -0.274, 0.438
p:1.0441009814204145, -0.08992237717589419, -0.19544850017224058, fr=0.252
p:-1.085, -0.818, 0.553
p:-0.185, -0.488, 1.331
p:1.207, -0.546, -1.298
j:3, 1, stif=0.731
j:2, 3
j:0, 3
j:4, 1, stif=0.982
"
