run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
61,1,0,0,X,0.0,
61,1,14,1,"R(XX[|, 1:-0.887][*], X)",8.908270151063953e-05,"R(XX[|, 1:-0.97][*], X)"
61,1,30,2,"(RFXqX[|, 1:-4.094][*], fX)",0.00016034943230089948,"(RFXqX[|, 1:-1.907][*], fX)"
61,1,49,3,"(RFXqX[|, 1:-3.86][*], fX)",0.00016034943230089948,"(RFXqX[|, 1:-1.907][*], fX)"
