run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
6,1,0,0,X,0.0,
6,1,30,1,"cLqX[|,1:4.674][T][S]LmFX[|,-2:5.624]",0.0013240477318499538,"cLqX[|,1:4.674][T][S]mFX[|,-2:5.624]"
6,1,91,2,"CcLqX[|,1:6.546][T][S]LmFX[|,-2:2.46]",0.0018500273747980706,"CcLqX[|,1:5.942][T][S]LmFX[|,-2:2.46]"
6,1,105,3,"CcLqX[|,1:5.942][T]LmFX[|,-1:2.46]",0.001914496080102189,"CcLqX[|,1:5.942][T][S]LmFX[|,-2:2.46]"
