run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
12,4,0,0,/*4*/X,0.0,
12,4,12,1,"/*4*/,Q<<,<LX>X>N:|[-1:6.678]>N:T>",1.9266676808110134e-05,"/*4*/,<<,<LX>X>N:|[-1:6.678]>N:T>"
12,4,26,2,"/*4*/,Q<lf<R,<<CLmqX>X>X>N:|[-1:9.066]>N:T>",0.0011540654744811873,"/*4*/,Q<lf<R,<<CLqX>X>X>N:|[-1:9.066]>N:T>"
12,4,40,3,"/*4*/,Q<lf<R,<<CLqX#2>>X>X>N:|[-1:9.066]>N:T>",0.0011540654744811873,"/*4*/,Q<lf<R,<<CLqX>X>X>N:|[-1:9.066]>N:T>"
