run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
1,1,0,0,X,0.0,
1,1,26,1,"(rFXrL(X[|]), ,X)",0.00011212306418166604,"(rFXrL(X[*][|]), ,X)"
1,1,80,2,"L(rCFX[T]rL(X[@,1:1][*][|,-3:-0.594]), X)",0.0018798556100561158,"L(rCFX[T]rL(X[*][|,-2:-0.594]), X)"
1,1,99,3,"L(rCFX[T]rL(qX[*][*][|, -3:-0.594]), X)",0.0050754320470791795,"L(rCFX[T]rL(qX[*][|,-2:-0.594]), X)"
10,1,0,0,X,0.0,
10,1,17,1,"(lX, fX[|, 1:-18.781][T])",0.0002536184766529889,"(lX, fX[|, 1:-19.409][T])"
10,1,58,2,"(llX, fX[|, 1:-14.408][T])",0.00032130869235447916,"(llX, fX[|, 1:-13.048][T])"
10,1,65,3,"((llX), fX[|, 1:-13.048][T])",0.00033984826550490795,"(llX, fX[|, 1:-13.048][T])"
11,1,0,0,X,0.0,
11,1,17,1,"L(FLqX, rrcCqQXX[T][@, -1:-5.471,p:1]FX[|,-2:1])",0.0008798307107002236,"L(FLqX, rrcCqQXX[T][@, -1:-5.471,p:1]FX)"
11,1,36,2,"LX(LqX, rrcCqQXX[T][@, -1:-1.75,p:1]FX[|,-2:7.386])",0.0023252093239503582,"L(LqX, rrcCqQXX[T][@, -1:-1.75,p:1]FX[|,-2:7.386])"
11,1,54,3,"LX[S](LqQX, rrcCqQXX[T][@, -1:-0.9, p:1]FX[|, -2:7.386])",0.0031128473965626904,"LX(LqQX, rrcCqQXX[T][@, -1:-0.9,p:1]FX[|,-2:7.386])"
12,1,0,0,X,0.0,
12,1,12,1,"RcQX[|,1:1.586,p:0.25]QmMCX[G]",0.0011737400745058767,"RcQX[|,1:1.586]QmMCX[G]"
12,1,35,2,"RcMQX[|,1:1.653]RQQmMCX[G]",0.002924053585539249,"RcMQX[|,1:1.586]RQQmMCX[G]"
12,1,84,3,"RcMQX[|,1:-2.341]RQQMCX[G]",0.0033268039839157767,"RcMQX[|,1:-2.341]RQQmMCX[G]"
13,1,0,0,X,0.0,
13,1,48,1,"(lFX[@, 2:0.745]LqX[|, 1:-0.948,p:0.25][*], X)",0.0002393980400847853,"(lFX[@, 2:0.745]LqX[|, 1:-0.948][*], X)"
13,1,116,2,"F(fX[@, 2:0.382]LX[|, 1:-0.93][*], X[@,-1:1])",0.0009378606640716342,"F(fX[@, 2:0.382]LX[|, 1:-0.93][*], X)"
13,1,199,3,"F(fX[@, 2:0.2]rFFLFX[|, 1:-0.885][*], X[T])",0.0020898002407108473,"F(fX[@, 2:0.2]rFFLFX[|, 1:-0.885][*], X)"
14,1,0,0,X,0.0,
14,1,8,1,"McqFX[G][T,r:0.887,ry:0]LX[|,-2:9.365]QX",0.0001580198992420803,"McqFX[G][T,r:0.887,ry:0]LX[|,-2:3.532]QX"
14,1,18,2,"McqFX[G][T,r:0.887,ry:0,rz:0]LX[|,-2:9.923]QX",0.0002738618136783542,"McqFX[G][T,r:0.887,ry:0]LX[|,-2:9.923]QX"
14,1,31,3,"McqFX[G][T,r:0.887,ry:0,r:1]LX[|,-2:9.923]QX",0.0002738618136783542,"McqFX[G][T,r:0.887,ry:0]LX[|,-2:9.923]QX"
15,1,0,0,X,0.0,
15,1,14,1,"QCFX[@,3:-0.529][|,1:3.424][Gpart,ry:0][Gpart]",0.0006054563468669597,"QCFX[@,3:-0.506][|,1:3.424][Gpart,ry:0][Gpart]"
15,1,23,2,"QCFX[@,3:-1.19][|,1:3.877][Gpart,ry:0.475][Gpart]",0.0022099771909080443,"QCFX[@,3:-1.122][|,1:3.877][Gpart,ry:0.475][Gpart]"
15,1,51,3,"QFX[S][@, 3:-1.19][|, 1:3.877][Gpart, ry:0.475][Gpart]",0.002528669446758667,"QFX[@,3:-1.19][|,1:3.877][Gpart,ry:0.475][Gpart]"
16,1,0,0,X,0.0,
16,1,32,1,"FXMLqLfLX[|,1:2.102,p:0.022][*]",9.37273234194488e-05,"FXMLqLfLX[|,1:2.304,p:0.022][*]"
