run,genetic_format,sample_index,parent_genotype,parent_fitness,genotype,fitness,status,mutation_attempts
21,H,0,"//H
3
j:",0.0,"//H
3
j:y2=-0.208
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:x1=0.023
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
n:0.702736547216773, 0.37834206968545914, 0.4544177153147757, 0.11981403548270464, 0.24175616819411516, -0.5748756807297468, d=|:p=0.194
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:x1=0.145
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
j:-0.6191324731335044, -0.9321233755908906, -0.3222358631901443, -0.7278988044708967, 0.07590946182608604, -0.32866296730935574, l=0.913
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
n:0.9556528185494244, -0.052195930387824774, 0.4598378259688616, 0.7390447040088475, 0.33703940035775304, -0.8845069403760135, d=N:si=3.359
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:-0.256
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
c:-0.36456415615975857, -0.9274096917361021, 0.21657731104642153, -0.39695539651438594, 0.7853245879523456, -0.34981961688026786, 4.075
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:x2=0.183
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
c:0.7440611235797405, -0.5067562111653388, -0.3847132702358067, 0.8637748504988849, -0.37629410391673446, 0.9428681088611484, 2.586
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
c:-0.9934543641284108, 0.011883886996656656, 0.10205155704170465, 0.9331735908053815, 0.8092416347935796, -0.8081225957721472, 1.598
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
c:-0.2030290295369923, -0.5342135494574904, 0.988618619274348, -0.8375361668877304, 0.05344209214672446, 0.06755228014662862, 1.378
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:rotstif=0.984
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:x2=-0.003
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:fr=0.292
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:-0.069
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:
c:0.5195894539356232, -0.107977035921067, -0.31284992210567, -0.8837244873866439, -0.11334417434409261, -0.08532400708645582, -4.468
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:fr=0.104
",0.0,feasible,20
21,H,0,"//H
3
j:",0.0,"//H
3
j:x2=-0.254
",0.0,feasible,20
