run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
58,1,0,0,X,0.0,
58,1,46,1,"rmCLLCcX[|,p:0.274]QX[|,p:0.099]",0.0012741255612244845,"rmCLLCcX[|,p:0.274]RQX[|,p:0.099]"
58,1,118,2,"rmCLLCcX[@,1:5.515][T][|,p:0.274,-1:-2.205]qQX[|,p:0.105,-2:2.626]",0.0019795838521068716,"rmCLLCcX[@,1:4.792][T][|,p:0.274,-1:-2.205]qQX[|,p:0.105,-2:2.626]"
58,1,132,3,"rmCLLCcX[*][@, 1:4.792][T][|, p:0.274, -1:-2.205]qQX[|, p:0.105, -2:2.626]",0.002042892238518952,"rmCLLCcX[@,1:4.792][T][|,p:0.274,-1:-2.205]qQX[|,p:0.105,-2:2.626]"
