run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
51,1,0,0,X,0.0,
51,1,17,1,"RLQCFLFmLX[|,1:0.974]CCX[*][|,-1:1]",0.00019302738191228922,"RLQCFLFmLX[|,1:1]CCX[*][|,-1:1]"
51,1,37,2,"RLQCFLFmLX[|,1:0.974]rCCCCX[*][|,-1:2.232]",0.00022573140741966356,"RLQCFLFmLX[|,1:0.974]rCCCCX[*][|,-1:1]"
51,1,55,3,"RLQCFLFmLX[|,1:0.974]rCCCCX[*][|,-1:3.492]",0.00022573140741966356,"RLQCFLFmLX[|,1:0.974]rCCCCX[*][|,-1:1]"
