run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
2,1,0,0,X,0.0,
2,1,39,1,"L(QXMX[T][|, -1:14.881], rX[|,-2:-3.681])",0.0007129230666987246,"L(QXMX[T][|, -1:15.249], rX[|,-2:-3.681])"
2,1,119,2,"L(QXlMMX[T][|, -1:7.414], rX[|,-2:-5.3])",0.0027064095529951778,"L(QXlMMX[T][|, -1:5.214], rX[|,-2:-5.3])"
2,1,128,3,"L(QXlMMX[T][|, -1:5.214], rX[Gpart][|, -3:-5.3])",0.002891291560387666,"L(QXlMMX[T][|, -1:5.214], rX[|,-2:-5.3])"
