run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
32,1,0,0,X,0.0,
32,1,31,1,"qXFqX[|,1:2.639][*]X[@,-1:-0.018][|,-2:1]",0.0002600759641544662,"qXFqX[|,1:2.639][*]qX[@,-1:-0.018][|,-2:1]"
32,1,77,2,"qXFqLX[|,p:0.302][*]rX[@][|,-2:0.859]",0.0011916116173197964,"qXFqLX[|,p:0.302][*]rX[@][|,-2:0.894]"
32,1,109,3,"qXFqLX[S][|,p:0.302,-1:1][*]rLqLqX[@][|,-2:0.805]",0.0019140246077737743,"qXFqLX[|,p:0.302][*]rLqLqX[@][|,-2:0.805]"
