run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
50,1,0,0,X,0.0,
50,1,9,1,"rrCCX[Gpart]cX[|,-1:3.375]",0.0002740681206038515,"rrCCX[Gpart]cX[|,-1:2.817]"
50,1,44,2,"rrCCCX[Gpart]cX[|,-1:2.728]",0.0003906345864765531,"rrCCCX[Gpart]cX[|,-1:4.354]"
50,1,42,3,"rrCCCX[Gpart]cX[N, -1:1][|, -2:4.354]",0.0005084848587903102,"rrCCCX[Gpart]cX[|,-1:4.354]"
