run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
10,0,0,0,"//0
p:
p:1
j:0,1",0.0,
10,0,38,1,"//0
p:fr=0.017
p:0.268, -0.955, -0.036, fr=0.253
p:-0.11540605258036385, 1.0009633278437544, -0.19850322758373037, fr=0.263
j:1, 2
j:0, 1, stif=0.825
j:0, 2, stif=0.979
n:j=0, d=|
",0.0010602394242802216,"//0
p:fr=0.017
p:0.268, -0.955, -0.036, fr=0.253
p:-0.11540605258036385, 1.0009633278437544, -0.19850322758373037, fr=0.263
j:1, 2
j:0, 1
j:0, 2, stif=0.979
n:j=0, d=|
"
10,0,77,2,"//0
p:-0.035, -0.021, 0.036, fr=0.736
p:0.618, -1.484, -0.476, fr=0.253
p:0.057794841769227445, 0.42076816373007975, -0.23677528737194453, fr=0.535
p:1.46, -0.36, -0.939
j:2, 1, stif=0.988
j:0, 2, stif=0.825
j:0, 1, stif=0.979
j:3, 0, stif=0.892
n:j=0, d=|
n:p=2, d=Gpart
c:0, 1, -3.462
",0.006225335437479018,"//0
p:-0.035, -0.021, 0.036, fr=0.736
p:0.618, -1.484, -0.476, fr=0.253
p:0.057794841769227445, 0.42076816373007975, -0.23677528737194453, fr=0.535
p:1.46, -0.36, -0.939
j:2, 1, stif=0.988
j:0, 2, stif=0.825
j:0, 1, stif=0.979
j:3, 0, stif=0.892
n:j=0, d=|
n:p=2, d=Gpart
c:0, 1, -2.132
"
10,0,116,3,"//0
p:-0.035, -0.021, 0.036, fr=0.736
p:0.618, -1.484, -0.476, fr=0.253
p:0.057794841769227445, 0.42076816373007975, -0.23677528737194453, fr=0.535
p:1.46, -0.36, -0.939, fr=0.627
j:2, 1, stif=0.988
j:0, 2, stif=0.825
j:0, 1, stif=0.933
j:3, 0, stif=0.767
n:j=0, d=""|:p=0.215, r=0.934""
n:p=2, d=Gpart
c:0, 1, -2.132
",0.006359494276311025,"//0
p:-0.035, -0.021, 0.036, fr=0.736
p:0.618, -1.484, -0.476, fr=0.253
p:0.057794841769227445, 0.42076816373007975, -0.23677528737194453, fr=0.535
p:1.46, -0.36, -0.939, fr=0.627
j:2, 1, stif=0.988
j:0, 2, stif=0.825
j:0, 1, stif=0.933
j:3, 0, stif=0.767
n:j=0, d=|:p=0.215
n:p=2, d=Gpart
c:0, 1, -2.132
"
