run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
46,1,0,0,X,0.0,
46,1,14,1,"qfXCX[|,1:2.006]X[Gpart][|,-1:1]RRX[@]",0.00037400549855024656,"qfXCX[|,1:1]X[Gpart][|,-1:1]RRX[@]"
46,1,28,2,"qflXCX[|,1:3.223]X[Gpart][|,-1:-0.707]X[@]",0.0014116891458827215,"qflXCX[|,1:3.223]X[Gpart][|,-1:-0.707]RX[@]"
46,1,48,3,"qflXCX[|,1:3.259]X[Gpart][|,-1:-0.707,p:0.25]RX[@]",0.0014443898204765896,"qflXCX[|,1:3.259]X[Gpart][|,-1:-0.707]RX[@]"
