run,genetic_format,sample_index,parent_genotype,parent_fitness,genotype,fitness,status,mutation_attempts
19,4,0,/*4*/X,0.0,/*4*/XM>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/XF>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/XQ>,0.0,feasible,41
19,4,0,/*4*/X,0.0,"/*4*/X,>",0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/XR>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/mX>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/FX>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/X>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/<X>X>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/RX>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/cX>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/fX>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/Xq>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/Xc>,0.0,feasible,41
19,4,0,/*4*/X,0.0,"/*4*/,X>",0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/XC>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/Xr>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/lX>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/Xm>,0.0,feasible,41
19,4,0,/*4*/X,0.0,/*4*/rX>,0.0,feasible,41
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cFl>>q>LLXLL>,4.197217291450962e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>>LLXLL>,4.1972172914503114e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>MLLXLL>,4.197217291450962e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<cLLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,1.378928647967839e-07,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/c<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,1.378928647967839e-07,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>Lc<QqLL<rccFlXc#5#4cl>>q>LLXLL>N:|>,3.936649742692786e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcLQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.20985219370657e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LcQqLL<rccFlXc#5#4cl>>q>LLXLL>LLfXLq>,3.2877664503608857e-18,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqCLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<LLXLL>rccFlXc#5#4cl>>q>,3.5527204550576164e-19,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<X><LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,3.0988802067404926e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>L<X>LXLL>,2.3655105867018592e-07,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXlLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,1.7763568394002505e-19,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQLL<rccFlXc#5#4cl>>q>LLXLL>,4.1972172914503114e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.190435116020494e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#5cl>>q>LLXLL>,4.197217167382279e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4l>>q>LLXLL>,4.0187466653144884e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFlXcc#5#4cl>>q>LLXLL>,4.197217291450962e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXLq>LcQqLL<rccFqlXc#5#4cl>>q>LLXLL>,4.197217291449941e-05,feasible,21
19,4,1,/*4*/<LLfXLq>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,4.197217291450962e-05,/*4*/<LLfXL#2q>>LcQqLL<rccFlXc#5#4cl>>q>LLXLL>,1.7763568394002505e-19,feasible,21
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rcccqcXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.2935935965966096e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.307405933670179e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.307727171185063e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#2f#2#4L>>>F>f>N:T>,4.308159983054468e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXL#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,0.0,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<LLX#1L#3f#2#4L>>>F>f>rcccqcFXc#3cqcl>Qq>N:T>,5.204170427930421e-22,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#3L>>>F>f>N:T>,4.308160692519474e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#5L>>>F>f>N:T>,4.308160692519474e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,1.303258334653043e-16,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cL<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.3081602195427153e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLfm<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#4cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.299033694147707e-05,feasible,20
19,4,2,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#2#4L>>>F>f>N:T>,4.308160692519474e-05,/*4*/<<LLfLXLq#4L>>cLf<rcccqcFXc#3cqcl>Qq>LLX#1L#3f#3#4L>>>F>f>N:T>,4.308160692519474e-05,feasible,20
