run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
36,1,0,0,X,0.0,
36,1,9,1,"(LX[|, 1:-0.017][*], X)",2.102557815860989e-05,"(LX[|, 1:-0.148][*], X)"
36,1,17,2,"(QLX[|, 1:-0.973][*], X[T])",3.860174184472393e-05,"(QLX[|, 1:-0.973][*], X)"
36,1,40,3,"(LqX[|, 1:-0.973][*], MX)",4.6044609005829424e-05,"(LqX[|, 1:-0.973][*], X)"
