run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
12,1,0,0,X,0.0,
12,1,16,1,"RmfX[|,1:-0.388][*][N][G]X[|,-3:-1.6]",0.00013953799404425995,"RmfX[|,1:-0.388][*][N][G]X[|,-3:-2.021]"
12,1,36,2,"RmfX[|,1:-0.828][*][N][G]X[|,-3:-1.157]",0.0001477593708096458,"RmfX[|,1:-0.828][*][N][G]X[|,-3:-2.021]"
12,1,53,3,"RmfX[|,1:-0.828][*][N,-1:1][G]X[|,-3:-2.021]",0.0001477593708096458,"RmfX[|,1:-0.828][*][N][G]X[|,-3:-2.021]"
