run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
18,1,0,0,X,0.0,
18,1,6,1,"XcX[@,2:1][|,1:9.004][T]",2.6985095161094885e-05,"XcX[|,1:9.004][T]"
18,1,12,2,"cX[S][@, 2:7.512][|, 1:6.483][T]",0.0007257405381407966,"cX[@,2:7.512][|,1:6.483][T]"
18,1,30,3,"cX[@,2:7.512][|,1:6.483][T,ry:0]",0.0007257405381407966,"cX[@,2:7.512][|,1:6.483][T]"
