run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
7,1,0,0,X,0.0,
7,1,24,1,"(mLXqX MX[T,r:1][N, 1:-34.069, in:0, 1:1.39,-1:3.55,1:1.296,-1:0.154,s:0,3:2.168][S]X[|,1:14.1][T])",0.00039167948189230674,"(mLXqX MX[T,r:1][N, 1:-34.069, in:0, 1:1.39,-1:3.55,1:1.296,-1:0.154,s:0,3:1][S]X[|,1:14.1][T])"
7,1,48,2,"Xf(RMmLXqX MX[T,r:1][N, 1:-34.069, in:0, 1:1.39,-1:3.55,1:0.293,-1:0.154,s:0,3:1][S]X[|,1:20.31][T])",0.0011688973885641564,"Xf(RMmLXqX MX[T,r:1][N, 1:-34.069, in:0, 1:1.39,-1:3.55,1:1.296,-1:0.154,s:0,3:1][S]X[|,1:20.31][T])"
7,1,73,3,"Xf(RMmLXqX MX[T,r:1][N, 1:-34.069, in:0, 1:1.39,-1:3.55,1:1.296,-1:0.154,s:0,3:1.577][S]rX[|,1:20.31][T])",0.001168897591689498,"Xf(RMmLXqX MX[T,r:1][N, 1:-34.069, in:0, 1:1.39,-1:3.55,1:1.296,-1:0.154,s:0,3:1][S]rX[|,1:20.31][T])"
